2930,"SELECT G.objID as sdss_ID, G.ra as RA, G.dec as DEC, P.z as redshift, p.zErr as redshift_err, G.modelMag_u as MODEL_MAG_U, G.modelMag_g as MODEL_MAG_G, G.modelMag_r as MODEL_MAG_R, G.modelMag_i as MODEL_MAG_I, G.modelMag_z as MODEL_MAG_Z, G.modelMagErr_u as MODEL_MAG_U_err, G.modelMagErr_g as MODEL_MAG_G_err, G.modelMagErr_r as MODEL_MAG_R_err, G.modelMagErr_i as MODEL_MAG_I_err, G.modelMagErr_z as MODEL_MAG_Z_err, P.absMagU, P.absMagG, P.absMagR, P.absMagI, P.absMagZ FROM Galaxy as G JOIN dbo.fGetNearbyObjEq(#,#,#) AS GN ON G.objID = GN.objID JOIN Photoz as P ON P.objID = G.objID WHERE G.modelMag_r < # and G.modelMag_g < #"
2019-06-28 00:00:00,38
2019-06-28 00:01:00,33
2019-06-28 00:02:00,36
2019-06-28 00:03:00,37
2019-06-28 00:04:00,36
2019-06-28 00:05:00,38
2019-06-28 00:06:00,36
2019-06-28 00:07:00,35
2019-06-28 00:08:00,37
2019-06-28 00:09:00,36
2019-06-28 00:10:00,37
2019-06-28 00:11:00,34
2019-06-28 00:12:00,37
2019-06-28 00:13:00,35
2019-06-28 00:14:00,36
2019-06-28 00:15:00,35
2019-06-28 00:16:00,35
2019-06-28 00:17:00,34
2019-06-28 00:18:00,35
2019-06-28 00:19:00,36
2019-06-28 00:20:00,37
2019-06-28 00:21:00,35
2019-06-28 00:22:00,37
2019-06-28 00:23:00,37
2019-06-28 00:24:00,37
2019-06-28 00:25:00,35
2019-06-28 00:26:00,35
2019-06-28 00:27:00,35
2019-06-28 00:28:00,35
2019-06-28 00:29:00,36
2019-06-28 00:30:00,34
2019-06-28 00:31:00,32
2019-06-28 00:32:00,33
2019-06-28 00:33:00,37
2019-06-28 00:34:00,37
2019-06-28 00:35:00,36
2019-06-28 00:36:00,36
2019-06-28 00:37:00,36
2019-06-28 00:38:00,36
2019-06-28 00:39:00,35
2019-06-28 00:40:00,37
2019-06-28 00:41:00,33
2019-06-28 00:42:00,34
2019-06-28 00:43:00,33
2019-06-28 00:44:00,34
2019-06-28 00:45:00,34
2019-06-28 00:46:00,33
2019-06-28 00:47:00,35
2019-06-28 00:48:00,33
2019-06-28 00:49:00,34
2019-06-28 00:50:00,34
2019-06-28 00:51:00,33
2019-06-28 00:52:00,33
2019-06-28 00:53:00,32
2019-06-28 00:54:00,36
2019-06-28 00:55:00,35
2019-06-28 00:56:00,35
2019-06-28 00:57:00,35
2019-06-28 00:58:00,35
2019-06-28 00:59:00,35
2019-06-28 01:00:00,35
2019-06-28 01:01:00,35
2019-06-28 01:02:00,36
2019-06-28 01:03:00,34
2019-06-28 01:04:00,30
2019-06-28 01:05:00,33
2019-06-28 01:06:00,35
2019-06-28 01:07:00,34
2019-06-28 01:08:00,34
2019-06-28 01:09:00,34
2019-06-28 01:10:00,33
2019-06-28 01:11:00,35
2019-06-28 01:12:00,33
2019-06-28 01:13:00,34
2019-06-28 01:14:00,33
2019-06-28 01:15:00,33
2019-06-28 01:16:00,33
2019-06-28 01:17:00,33
2019-06-28 01:18:00,33
2019-06-28 01:19:00,33
2019-06-28 01:20:00,34
2019-06-28 01:21:00,33
2019-06-28 01:22:00,32
2019-06-28 01:23:00,33
2019-06-28 01:24:00,15
