23,SELECT * FROM S8#PhotoObj_#B
2019-06-28 05:04:00,1
2019-06-28 05:10:00,1
2019-06-28 05:18:00,1
2019-06-28 05:21:00,1
2019-06-28 05:24:00,1
2019-06-28 05:28:00,1
2019-06-28 05:31:00,1
2019-06-28 05:36:00,1
2019-06-28 05:44:00,1
2019-06-28 05:49:00,1
2019-06-28 05:53:00,1
2019-06-28 05:58:00,1
2019-06-28 06:02:00,1
2019-06-28 06:06:00,1
2019-06-28 06:11:00,1
2019-06-28 06:20:00,1
2019-06-28 06:26:00,1
2019-06-28 06:39:00,1
2019-06-28 06:49:00,1
2019-06-28 06:58:00,1
2019-06-28 07:04:00,1
2019-06-28 07:08:00,1
2019-06-28 07:14:00,1
