338,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-06-28 12:37:00,15
2019-06-28 12:59:00,29
2019-06-28 13:01:00,25
2019-06-28 13:02:00,47
2019-06-28 13:09:00,15
2019-06-28 13:14:00,20
2019-06-28 13:26:00,48
2019-06-28 13:28:00,17
2019-06-28 13:31:00,14
2019-06-28 13:32:00,27
2019-06-28 13:35:00,12
2019-06-28 13:38:00,10
2019-06-28 13:39:00,4
2019-06-28 13:40:00,15
2019-06-28 13:44:00,7
2019-06-28 13:45:00,9
2019-06-28 13:56:00,3
2019-06-28 14:08:00,8
2019-06-28 14:11:00,13
