23,SELECT * FROM S8#PhotoObj_#A
2019-06-28 02:57:00,1
2019-06-28 02:59:00,1
2019-06-28 03:07:00,1
2019-06-28 03:11:00,1
2019-06-28 03:16:00,1
2019-06-28 03:21:00,1
2019-06-28 03:25:00,1
2019-06-28 03:34:00,1
2019-06-28 03:37:00,1
2019-06-28 03:40:00,1
2019-06-28 03:43:00,1
2019-06-28 03:47:00,1
2019-06-28 03:50:00,1
2019-06-28 03:54:00,1
2019-06-28 03:58:00,1
2019-06-28 04:03:00,1
2019-06-28 04:05:00,1
2019-06-28 04:07:00,1
2019-06-28 04:14:00,1
2019-06-28 04:24:00,1
2019-06-28 04:34:00,1
2019-06-28 04:52:00,1
2019-06-28 04:56:00,1
