28,SELECT &&&
2019-06-28 03:39:00,3
2019-06-28 03:40:00,4
2019-06-28 03:42:00,1
2019-06-28 10:54:00,1
2019-06-28 11:14:00,1
2019-06-28 11:33:00,1
2019-06-28 12:40:00,1
2019-06-28 13:02:00,1
2019-06-28 13:17:00,1
2019-06-28 13:31:00,1
2019-06-28 13:49:00,1
2019-06-28 14:05:00,1
2019-06-28 14:22:00,2
2019-06-28 14:40:00,1
2019-06-28 14:56:00,1
2019-06-28 15:14:00,1
2019-06-28 15:31:00,1
2019-06-28 15:50:00,1
2019-06-28 16:19:00,1
2019-06-28 16:37:00,1
2019-06-28 16:53:00,1
2019-06-28 18:52:00,1
