222,"select plate, mjd, fiberID from dbo.fGetNearbySpecObjAllEq(#, #, #)"
2019-12-31 03:12:00,1
2019-12-31 03:13:00,4
2019-12-31 03:14:00,5
2019-12-31 03:15:00,2
2019-12-31 03:16:00,2
2019-12-31 03:20:00,3
2019-12-31 03:21:00,4
2019-12-31 03:22:00,2
2019-12-31 03:23:00,2
2019-12-31 03:25:00,2
2019-12-31 03:26:00,3
2019-12-31 03:27:00,2
2019-12-31 03:28:00,3
2019-12-31 03:29:00,2
2019-12-31 03:30:00,4
2019-12-31 03:31:00,2
2019-12-31 03:32:00,2
2019-12-31 03:33:00,3
2019-12-31 03:34:00,1
2019-12-31 03:35:00,3
2019-12-31 03:36:00,4
2019-12-31 03:37:00,1
2019-12-31 03:38:00,2
2019-12-31 03:39:00,3
2019-12-31 03:40:00,1
2019-12-31 03:41:00,3
2019-12-31 03:42:00,3
2019-12-31 03:43:00,1
2019-12-31 03:44:00,2
2019-12-31 03:45:00,2
2019-12-31 03:46:00,1
2019-12-31 03:47:00,3
2019-12-31 03:48:00,1
2019-12-31 03:49:00,4
2019-12-31 03:50:00,3
2019-12-31 03:52:00,2
2019-12-31 03:53:00,2
2019-12-31 03:54:00,3
2019-12-31 03:55:00,2
2019-12-31 03:56:00,3
2019-12-31 03:57:00,1
2019-12-31 03:58:00,1
2019-12-31 03:59:00,3
2019-12-31 04:00:00,4
2019-12-31 04:01:00,4
2019-12-31 04:02:00,5
2019-12-31 04:03:00,1
2019-12-31 04:04:00,3
2019-12-31 04:05:00,4
2019-12-31 04:06:00,1
2019-12-31 04:07:00,3
2019-12-31 04:08:00,3
2019-12-31 04:09:00,2
2019-12-31 04:10:00,3
2019-12-31 04:11:00,1
2019-12-31 04:12:00,5
2019-12-31 04:13:00,2
2019-12-31 04:14:00,2
2019-12-31 04:15:00,2
2019-12-31 04:16:00,5
2019-12-31 04:17:00,2
2019-12-31 04:18:00,2
2019-12-31 04:20:00,1
2019-12-31 04:21:00,6
2019-12-31 04:22:00,2
2019-12-31 04:23:00,3
2019-12-31 04:24:00,3
2019-12-31 04:25:00,2
2019-12-31 04:27:00,1
2019-12-31 04:29:00,2
2019-12-31 04:30:00,2
2019-12-31 04:31:00,2
2019-12-31 04:32:00,1
2019-12-31 04:34:00,2
2019-12-31 04:37:00,3
2019-12-31 04:38:00,7
2019-12-31 04:39:00,3
2019-12-31 04:40:00,2
2019-12-31 04:41:00,3
2019-12-31 04:42:00,4
2019-12-31 04:43:00,2
2019-12-31 04:44:00,3
2019-12-31 04:45:00,4
2019-12-31 04:46:00,2
2019-12-31 04:48:00,2
2019-12-31 04:49:00,1
2019-12-31 04:50:00,1
2019-12-31 04:51:00,1
