21,"SELECT  p.cModelMag_g,  p.cModelMag_r,   p.cModelMag_i,   p.cModelMag_z,   p.cModelMagErr_g,   p.cModelMagErr_r,   p.cModelMagErr_i,   p.cModelMagErr_z,   p.objID,  p.ra,   p.dec,   s.z,   s.zErr,   s.ra,   s.dec,  pz.z,   pz.zErr into mydb.SDSS1# from Galaxy as p LEFT JOIN SpecPhotoAll as s ON p.objID = s.objID LEFT JOIN Photoz as pz ON p.objID = pz.objID   WHERE pz.z <= # AND # <= p.ra AND p.ra < #"
2019-10-11 05:21:00,1
2019-10-11 05:31:00,1
2019-10-11 06:41:00,1
2019-10-11 06:50:00,1
2019-10-11 06:55:00,1
2019-10-11 07:00:00,1
2019-10-11 07:09:00,1
2019-10-11 07:17:00,1
2019-10-11 10:13:00,1
2019-10-11 10:22:00,1
2019-10-11 10:28:00,1
2019-10-11 10:44:00,1
2019-10-11 10:55:00,1
2019-10-11 11:03:00,1
2019-10-11 11:11:00,1
2019-10-11 11:35:00,1
2019-10-11 11:40:00,1
2019-10-11 11:46:00,1
2019-10-11 11:47:00,1
2019-10-11 11:48:00,1
2019-10-11 11:53:00,1
