2,"SELECT TOP # s.SpecObjID, s.z, L.ew, L.height, dbo.fCosmoDl(s.z), wave, restWave from SpecPhoto as s   JOIN SpecLine as L    ON s.specObjID = L.specObjID  WHERE s.specClass = # AND L.lineID = # AND L.ew > # AND L.height > #"
2019-10-11 05:47:00,1
2019-10-11 05:49:00,1
