119,"select p.run, p.camcol, p.field from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid"
2019-10-11 04:48:00,6
2019-10-11 04:51:00,4
2019-10-11 04:52:00,2
2019-10-11 04:55:00,2
2019-10-11 04:58:00,2
2019-10-11 04:59:00,4
2019-10-11 05:02:00,4
2019-10-11 05:04:00,2
2019-10-11 05:09:00,2
2019-10-11 05:10:00,1
2019-10-11 05:12:00,1
2019-10-11 05:14:00,1
2019-10-11 05:15:00,1
2019-10-11 05:19:00,2
2019-10-11 05:29:00,3
2019-10-11 05:30:00,3
2019-10-11 05:33:00,2
2019-10-11 05:34:00,2
2019-10-11 05:35:00,2
2019-10-11 05:40:00,2
2019-10-11 05:55:00,4
2019-10-11 05:56:00,2
2019-10-11 05:58:00,2
2019-10-11 05:59:00,3
2019-10-11 06:03:00,2
2019-10-11 06:36:00,6
2019-10-11 06:39:00,2
2019-10-11 06:40:00,2
2019-10-11 06:41:00,1
2019-10-11 07:16:00,5
2019-10-11 07:17:00,1
2019-10-11 07:19:00,2
2019-10-11 07:20:00,2
2019-10-11 07:22:00,2
2019-10-11 07:26:00,2
2019-10-11 07:56:00,6
2019-10-11 07:59:00,2
2019-10-11 08:00:00,2
2019-10-11 08:02:00,2
2019-10-11 08:06:00,2
2019-10-11 08:36:00,4
2019-10-11 08:37:00,2
2019-10-11 08:39:00,2
2019-10-11 08:40:00,2
2019-10-11 08:41:00,1
2019-10-11 09:16:00,3
2019-10-11 09:17:00,1
2019-10-11 09:20:00,1
2019-10-11 09:22:00,1
2019-10-11 09:26:00,2
