24345,"SELECT top # ra,dec,u,g,r,i,z,GNOE.distance*# FROM PhotoObj as PT JOIN dbo.fGetNearbyObjEq(#,#,#) as GNOE on PT.objID = GNOE.objID ORDER BY GNOE.distance"
2019-10-11 00:00:00,44
2019-10-11 00:01:00,43
2019-10-11 00:02:00,44
2019-10-11 00:03:00,44
2019-10-11 00:04:00,44
2019-10-11 00:05:00,49
2019-10-11 00:06:00,43
2019-10-11 00:07:00,44
2019-10-11 00:08:00,44
2019-10-11 00:09:00,43
2019-10-11 00:10:00,44
2019-10-11 00:11:00,44
2019-10-11 00:12:00,43
2019-10-11 00:13:00,44
2019-10-11 00:14:00,44
2019-10-11 00:15:00,44
2019-10-11 00:16:00,43
2019-10-11 00:17:00,44
2019-10-11 00:18:00,44
2019-10-11 00:19:00,43
2019-10-11 00:20:00,44
2019-10-11 00:21:00,44
2019-10-11 00:22:00,44
2019-10-11 00:23:00,44
2019-10-11 00:24:00,44
2019-10-11 00:25:00,43
2019-10-11 00:26:00,44
2019-10-11 00:27:00,44
2019-10-11 00:28:00,44
2019-10-11 00:29:00,44
2019-10-11 00:30:00,44
2019-10-11 00:31:00,43
2019-10-11 00:32:00,44
2019-10-11 00:33:00,44
2019-10-11 00:34:00,44
2019-10-11 00:35:00,44
2019-10-11 00:36:00,43
2019-10-11 00:37:00,44
2019-10-11 00:38:00,44
2019-10-11 00:39:00,44
2019-10-11 00:40:00,44
2019-10-11 00:41:00,43
2019-10-11 00:42:00,43
2019-10-11 00:43:00,44
2019-10-11 00:44:00,43
2019-10-11 00:45:00,44
2019-10-11 00:46:00,44
2019-10-11 00:47:00,44
2019-10-11 00:48:00,44
2019-10-11 00:49:00,43
2019-10-11 00:50:00,44
2019-10-11 00:51:00,44
2019-10-11 00:52:00,44
2019-10-11 00:53:00,44
2019-10-11 00:54:00,44
2019-10-11 00:55:00,43
2019-10-11 00:56:00,44
2019-10-11 00:57:00,44
2019-10-11 00:58:00,44
2019-10-11 00:59:00,43
2019-10-11 01:00:00,44
2019-10-11 01:01:00,43
2019-10-11 01:02:00,44
2019-10-11 01:03:00,43
2019-10-11 01:04:00,44
2019-10-11 01:05:00,43
2019-10-11 01:06:00,44
2019-10-11 01:07:00,43
2019-10-11 01:08:00,44
2019-10-11 01:09:00,43
2019-10-11 01:10:00,43
2019-10-11 01:11:00,42
2019-10-11 01:12:00,43
2019-10-11 01:13:00,43
2019-10-11 01:14:00,44
2019-10-11 01:15:00,44
2019-10-11 01:16:00,35
2019-10-11 01:17:00,39
2019-10-11 01:18:00,45
2019-10-11 01:19:00,44
2019-10-11 01:20:00,44
2019-10-11 01:21:00,44
2019-10-11 01:22:00,48
2019-10-11 01:23:00,46
2019-10-11 01:24:00,44
2019-10-11 01:25:00,44
2019-10-11 01:26:00,43
2019-10-11 01:27:00,44
2019-10-11 01:28:00,44
2019-10-11 01:29:00,44
2019-10-11 01:30:00,44
2019-10-11 01:31:00,43
2019-10-11 01:32:00,44
2019-10-11 01:33:00,44
2019-10-11 01:34:00,44
2019-10-11 01:35:00,43
2019-10-11 01:36:00,44
2019-10-11 01:37:00,44
2019-10-11 01:38:00,44
2019-10-11 01:39:00,43
2019-10-11 01:40:00,44
2019-10-11 01:41:00,44
2019-10-11 01:42:00,44
2019-10-11 01:43:00,44
2019-10-11 01:44:00,44
2019-10-11 01:45:00,44
2019-10-11 01:46:00,43
2019-10-11 01:47:00,44
2019-10-11 01:48:00,44
2019-10-11 01:49:00,44
2019-10-11 01:50:00,44
2019-10-11 01:51:00,43
2019-10-11 01:52:00,44
2019-10-11 01:53:00,44
2019-10-11 01:54:00,44
2019-10-11 01:55:00,44
2019-10-11 01:56:00,43
2019-10-11 01:57:00,44
2019-10-11 01:58:00,45
2019-10-11 01:59:00,44
2019-10-11 02:00:00,44
2019-10-11 02:01:00,44
2019-10-11 02:02:00,44
2019-10-11 02:03:00,44
2019-10-11 02:04:00,43
2019-10-11 02:05:00,43
2019-10-11 02:06:00,44
2019-10-11 02:07:00,44
2019-10-11 02:08:00,43
2019-10-11 02:09:00,44
2019-10-11 02:10:00,43
2019-10-11 02:11:00,41
2019-10-11 02:12:00,43
2019-10-11 02:13:00,40
2019-10-11 02:14:00,34
2019-10-11 02:15:00,18
2019-10-11 02:16:00,22
2019-10-11 16:51:00,3
2019-10-11 16:52:00,44
2019-10-11 16:53:00,43
2019-10-11 16:54:00,45
2019-10-11 16:55:00,44
2019-10-11 16:56:00,44
2019-10-11 16:57:00,44
2019-10-11 16:58:00,44
2019-10-11 16:59:00,44
2019-10-11 17:00:00,44
2019-10-11 17:01:00,43
2019-10-11 17:02:00,44
2019-10-11 17:03:00,44
2019-10-11 17:04:00,43
2019-10-11 17:05:00,44
2019-10-11 17:06:00,41
2019-10-11 17:07:00,44
2019-10-11 17:08:00,43
2019-10-11 17:09:00,44
2019-10-11 17:10:00,44
2019-10-11 17:11:00,44
2019-10-11 17:12:00,44
2019-10-11 17:13:00,44
2019-10-11 17:14:00,44
2019-10-11 17:15:00,44
2019-10-11 17:16:00,44
2019-10-11 17:17:00,44
2019-10-11 17:18:00,43
2019-10-11 17:19:00,44
2019-10-11 17:20:00,44
2019-10-11 17:21:00,44
2019-10-11 17:22:00,43
2019-10-11 17:23:00,36
2019-10-11 17:24:00,7
2019-10-11 17:25:00,45
2019-10-11 17:26:00,44
2019-10-11 17:27:00,44
2019-10-11 17:28:00,45
2019-10-11 17:29:00,45
2019-10-11 17:30:00,44
2019-10-11 17:31:00,43
2019-10-11 17:32:00,44
2019-10-11 17:33:00,44
2019-10-11 17:34:00,44
2019-10-11 17:35:00,44
2019-10-11 17:36:00,45
2019-10-11 17:37:00,44
2019-10-11 17:38:00,45
2019-10-11 17:39:00,45
2019-10-11 17:40:00,45
2019-10-11 17:41:00,45
2019-10-11 17:42:00,44
2019-10-11 17:43:00,45
2019-10-11 17:44:00,44
2019-10-11 17:45:00,45
2019-10-11 17:46:00,44
2019-10-11 17:47:00,44
2019-10-11 17:48:00,45
2019-10-11 17:49:00,44
2019-10-11 17:50:00,44
2019-10-11 17:51:00,45
2019-10-11 17:52:00,44
2019-10-11 17:53:00,44
2019-10-11 17:54:00,44
2019-10-11 17:55:00,44
2019-10-11 17:56:00,44
2019-10-11 17:57:00,43
2019-10-11 17:58:00,44
2019-10-11 17:59:00,45
2019-10-11 18:00:00,44
2019-10-11 18:01:00,44
2019-10-11 18:02:00,45
2019-10-11 18:03:00,44
2019-10-11 18:04:00,44
2019-10-11 18:05:00,44
2019-10-11 18:06:00,41
2019-10-11 18:07:00,44
2019-10-11 18:08:00,44
2019-10-11 18:09:00,45
2019-10-11 18:10:00,44
2019-10-11 18:11:00,44
2019-10-11 18:12:00,44
2019-10-11 18:13:00,44
2019-10-11 18:14:00,44
2019-10-11 18:15:00,44
2019-10-11 18:16:00,43
2019-10-11 18:17:00,44
2019-10-11 18:18:00,44
2019-10-11 18:19:00,41
2019-10-11 18:20:00,44
2019-10-11 18:21:00,45
2019-10-11 18:22:00,44
2019-10-11 18:23:00,62
2019-10-11 18:24:00,50
2019-10-11 18:25:00,44
2019-10-11 18:26:00,44
2019-10-11 18:27:00,45
2019-10-11 18:28:00,44
2019-10-11 18:29:00,44
2019-10-11 18:30:00,44
2019-10-11 18:31:00,44
2019-10-11 18:32:00,44
2019-10-11 18:33:00,44
2019-10-11 18:34:00,44
2019-10-11 18:35:00,44
2019-10-11 18:36:00,44
2019-10-11 18:37:00,39
2019-10-11 18:38:00,44
2019-10-11 18:39:00,44
2019-10-11 18:40:00,44
2019-10-11 18:41:00,44
2019-10-11 18:42:00,44
2019-10-11 18:43:00,45
2019-10-11 18:44:00,44
2019-10-11 18:45:00,44
2019-10-11 18:46:00,44
2019-10-11 18:47:00,44
2019-10-11 18:48:00,44
2019-10-11 18:49:00,43
2019-10-11 18:50:00,44
2019-10-11 18:51:00,45
2019-10-11 18:52:00,44
2019-10-11 18:53:00,44
2019-10-11 18:54:00,44
2019-10-11 18:55:00,43
2019-10-11 18:56:00,42
2019-10-11 18:57:00,43
2019-10-11 18:58:00,42
2019-10-11 18:59:00,44
2019-10-11 19:00:00,44
2019-10-11 19:01:00,44
2019-10-11 19:02:00,44
2019-10-11 19:03:00,44
2019-10-11 19:04:00,44
2019-10-11 19:05:00,44
2019-10-11 19:06:00,45
2019-10-11 19:07:00,44
2019-10-11 19:08:00,45
2019-10-11 19:09:00,44
