2278,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-10-11 12:31:00,177
2019-10-11 12:32:00,14
2019-10-11 12:33:00,252
2019-10-11 12:34:00,31
2019-10-11 12:35:00,103
2019-10-11 12:36:00,41
2019-10-11 12:37:00,49
2019-10-11 12:38:00,86
2019-10-11 12:39:00,242
2019-10-11 12:40:00,23
2019-10-11 12:41:00,60
2019-10-11 12:42:00,66
2019-10-11 12:43:00,160
2019-10-11 12:44:00,81
2019-10-11 12:46:00,271
2019-10-11 12:47:00,70
2019-10-11 12:48:00,102
2019-10-11 12:49:00,155
2019-10-11 12:50:00,217
2019-10-11 12:51:00,78
