2,"select z.specobjid, dbo.fPhotoFlagsN(p.flags), p.ra, p.dec, p.flags into mydb.sat_filt_flag_m from zoo2MainSpecz z   join   photoobj p on p.specobjid=z.specobjid where    t0#_odd_feature_a2#_merger_flag = # and   (p.flags & dbo.fPhotoFlags(&&&)) = #"
2019-08-11 05:12:00,1
2019-08-11 05:34:00,1
