28,"SELECT s.specObjID as spec_id, dbo.fGetUrlFitsSpectrum(s.specObjId) as spec_url FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.ra BETWEEN # AND # AND p.dec BETWEEN # AND # AND p.type=# AND s.snMedian>#"
2019-08-11 05:01:00,2
2019-08-11 05:02:00,4
2019-08-11 05:06:00,2
2019-08-11 05:07:00,5
2019-08-11 05:08:00,3
2019-08-11 05:11:00,2
2019-08-11 05:12:00,3
2019-08-11 18:00:00,1
2019-08-11 18:01:00,1
2019-08-11 18:03:00,1
2019-08-11 18:04:00,1
2019-08-11 18:05:00,1
2019-08-11 18:07:00,1
2019-08-11 18:08:00,1
