14,"SELECT top # p.ra, p.dec, p.u,p.g,p.r,p.i,p.z, p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z, p.dered_u, p.dered_g, p.dered_r, p.dered_i, p.dered_z, pz.z, pz.zerr FROM fGetNearbyObjEq (#,#,#) n, PhotoObj p, Photoz pz WHERE p.r < # and n.objID=p.objID and pz.objID=p.objID and p.type = #"
2019-08-11 21:44:00,1
2019-08-11 21:51:00,1
2019-08-11 21:57:00,1
2019-08-11 22:03:00,1
2019-08-11 22:17:00,2
2019-08-11 22:18:00,1
2019-08-11 23:49:00,1
2019-08-11 23:51:00,1
2019-08-11 23:54:00,1
2019-08-11 23:57:00,1
2019-08-11 23:58:00,1
2019-08-11 23:59:00,2
