209,"select p.run, p.camcol, p.field from STAR as p inner join dbo.fGetNearbyObjEq(#,#,#) as N on p.objid = N.objid"
2019-08-04 00:01:00,2
2019-08-04 00:02:00,4
2019-08-04 00:06:00,4
2019-08-04 00:12:00,2
2019-08-04 01:58:00,1
2019-08-04 01:59:00,5
2019-08-04 02:00:00,3
2019-08-04 02:03:00,5
2019-08-04 02:05:00,2
2019-08-04 02:10:00,2
2019-08-04 02:33:00,1
2019-08-04 02:34:00,7
2019-08-04 02:37:00,4
2019-08-04 02:48:00,8
2019-08-04 02:49:00,2
2019-08-04 02:54:00,2
2019-08-04 02:56:00,2
2019-08-04 02:59:00,2
2019-08-04 03:09:00,3
2019-08-04 03:12:00,6
2019-08-04 03:15:00,2
2019-08-04 03:16:00,3
2019-08-04 03:17:00,2
2019-08-04 03:22:00,2
2019-08-04 03:26:00,2
2019-08-04 03:28:00,6
2019-08-04 03:35:00,3
2019-08-04 03:36:00,1
2019-08-04 03:39:00,2
2019-08-04 03:50:00,2
2019-08-04 03:51:00,2
2019-08-04 03:53:00,2
2019-08-04 03:57:00,4
2019-08-04 04:02:00,2
2019-08-04 04:07:00,2
2019-08-04 04:14:00,2
2019-08-04 04:16:00,2
2019-08-04 04:25:00,2
2019-08-04 04:36:00,1
2019-08-04 04:44:00,1
2019-08-04 04:45:00,1
2019-08-04 04:58:00,2
2019-08-04 05:06:00,2
2019-08-04 05:09:00,1
2019-08-04 05:10:00,1
2019-08-04 05:17:00,2
2019-08-04 05:18:00,2
2019-08-04 06:26:00,2
2019-08-04 06:27:00,1
2019-08-04 06:29:00,1
2019-08-04 07:09:00,2
2019-08-04 07:11:00,4
2019-08-04 07:15:00,2
2019-08-04 07:16:00,1
2019-08-04 07:20:00,2
2019-08-04 07:24:00,2
2019-08-04 07:26:00,6
2019-08-04 07:28:00,2
2019-08-04 07:32:00,2
2019-08-04 07:33:00,2
2019-08-04 07:35:00,2
2019-08-04 09:15:00,2
2019-08-04 09:16:00,2
2019-08-04 09:22:00,2
2019-08-04 09:23:00,3
2019-08-04 09:25:00,2
2019-08-04 09:33:00,2
2019-08-04 09:59:00,2
2019-08-04 10:01:00,2
2019-08-04 10:03:00,4
2019-08-04 10:10:00,1
2019-08-04 10:11:00,3
2019-08-04 10:23:00,4
2019-08-04 10:25:00,2
2019-08-04 10:26:00,2
2019-08-04 10:29:00,2
2019-08-04 10:38:00,2
2019-08-04 10:40:00,2
2019-08-04 10:48:00,2
2019-08-04 10:50:00,2
2019-08-04 10:51:00,2
2019-08-04 10:57:00,4
2019-08-04 11:03:00,4
2019-08-04 11:07:00,2
