44,"select p.ObjID, p.ra, p.dec, p.u, p.Err_u, p.g, p.Err_g, p.r, p.Err_r, p.i,p.Err_i, p.z, p.Err_z from photoObj p, dbo.fGetNearbyObjEq(#,#,#) n where p.objID = n.objID AND p.type = #"
2019-08-04 00:00:00,1
2019-08-04 00:03:00,1
2019-08-04 00:05:00,1
2019-08-04 00:06:00,1
2019-08-04 00:09:00,1
2019-08-04 00:11:00,1
2019-08-04 00:14:00,1
2019-08-04 00:15:00,1
2019-08-04 00:16:00,1
2019-08-04 00:20:00,1
2019-08-04 00:21:00,1
2019-08-04 00:23:00,1
2019-08-04 00:26:00,1
2019-08-04 00:27:00,1
2019-08-04 00:29:00,1
2019-08-04 00:31:00,1
2019-08-04 00:35:00,2
2019-08-04 00:38:00,1
2019-08-04 00:41:00,1
2019-08-04 00:42:00,1
2019-08-04 00:45:00,1
2019-08-04 01:01:00,1
2019-08-04 01:03:00,1
2019-08-04 01:10:00,1
2019-08-04 04:55:00,1
2019-08-04 04:57:00,1
2019-08-04 04:58:00,1
2019-08-04 05:00:00,1
2019-08-04 05:01:00,1
2019-08-04 05:08:00,1
2019-08-04 05:09:00,1
2019-08-04 05:12:00,1
2019-08-04 05:13:00,1
2019-08-04 05:14:00,1
2019-08-04 05:21:00,1
2019-08-04 23:12:00,1
2019-08-04 23:14:00,1
2019-08-04 23:16:00,1
2019-08-04 23:18:00,1
2019-08-04 23:20:00,1
2019-08-04 23:22:00,1
2019-08-04 23:24:00,1
2019-08-04 23:25:00,1
