67,"select p.objid as name, p.ra, p.dec from galaxy p, specobj s where p.objid=s.bestobjid and (p.g BETWEEN # AND #) and s.z BETWEEN # AND #"
2019-08-04 17:17:00,2
2019-08-04 17:33:00,1
2019-08-04 17:35:00,1
2019-08-04 17:38:00,1
2019-08-04 17:42:00,1
2019-08-04 17:46:00,1
2019-08-04 17:48:00,1
2019-08-04 17:52:00,1
2019-08-04 17:54:00,1
2019-08-04 17:57:00,1
2019-08-04 18:00:00,1
2019-08-04 18:03:00,1
2019-08-04 18:10:00,1
2019-08-04 18:13:00,1
2019-08-04 18:18:00,1
2019-08-04 18:25:00,1
2019-08-04 18:28:00,1
2019-08-04 18:32:00,1
2019-08-04 18:37:00,1
2019-08-04 18:41:00,1
2019-08-04 18:43:00,1
2019-08-04 18:53:00,1
2019-08-04 18:57:00,1
2019-08-04 19:01:00,1
2019-08-04 19:07:00,1
2019-08-04 19:10:00,1
2019-08-04 19:17:00,1
2019-08-04 19:23:00,1
2019-08-04 19:37:00,1
2019-08-04 19:40:00,1
2019-08-04 19:46:00,1
2019-08-04 19:51:00,1
2019-08-04 19:55:00,1
2019-08-04 19:57:00,1
2019-08-04 20:06:00,1
2019-08-04 20:12:00,1
2019-08-04 20:17:00,1
2019-08-04 20:20:00,1
2019-08-04 20:26:00,1
2019-08-04 20:29:00,1
2019-08-04 20:33:00,1
2019-08-04 20:45:00,1
2019-08-04 20:48:00,1
2019-08-04 20:52:00,1
2019-08-04 20:56:00,1
2019-08-04 21:05:00,1
2019-08-04 21:13:00,1
2019-08-04 21:19:00,1
2019-08-04 21:24:00,1
2019-08-04 21:31:00,1
2019-08-04 21:33:00,1
2019-08-04 21:40:00,1
2019-08-04 21:44:00,1
2019-08-04 21:52:00,1
2019-08-04 22:27:00,1
2019-08-04 22:30:00,1
2019-08-04 22:37:00,1
2019-08-04 22:45:00,1
2019-08-04 23:11:00,1
2019-08-04 23:17:00,1
2019-08-04 23:20:00,1
2019-08-04 23:29:00,1
2019-08-04 23:33:00,1
2019-08-04 23:42:00,1
2019-08-04 23:45:00,1
2019-08-04 23:50:00,1
