496,"INSERT INTO Census (ID, Geog) VALUES (#, geography::STGeomFromText(&&&, #) )"
2019-10-05 18:26:00,33
2019-10-05 18:27:00,27
2019-10-05 18:28:00,10
2019-10-05 18:29:00,19
2019-10-05 18:35:00,4
2019-10-05 18:38:00,30
2019-10-05 18:39:00,31
2019-10-05 18:40:00,18
2019-10-05 18:41:00,38
2019-10-05 18:42:00,9
2019-10-05 18:43:00,12
2019-10-05 18:44:00,2
2019-10-05 18:46:00,6
2019-10-05 18:47:00,16
2019-10-05 18:48:00,13
2019-10-05 18:49:00,4
2019-10-05 18:50:00,5
2019-10-05 18:51:00,3
2019-10-05 18:52:00,19
2019-10-05 18:53:00,12
2019-10-05 19:16:00,31
2019-10-05 19:17:00,25
2019-10-05 19:18:00,10
2019-10-05 19:19:00,44
2019-10-05 19:20:00,4
2019-10-05 19:21:00,6
2019-10-05 19:22:00,5
2019-10-05 19:25:00,13
2019-10-05 19:26:00,14
2019-10-05 19:27:00,1
2019-10-05 19:28:00,4
2019-10-05 19:29:00,3
2019-10-05 19:30:00,2
2019-10-05 19:31:00,15
2019-10-05 19:32:00,8
