15,"select top # p.u-p.r,p.g-p.r ,p.r-p.i ,p.r-p.z,p.l,p.b from star p where b BETWEEN # and # OR b BETWEEN # and #"
2019-10-05 08:45:00,3
2019-10-05 08:47:00,1
2019-10-05 09:11:00,1
2019-10-05 09:43:00,1
2019-10-05 12:12:00,1
2019-10-05 12:13:00,3
2019-10-05 12:37:00,1
2019-10-05 13:39:00,2
2019-10-05 13:55:00,1
2019-10-05 13:56:00,1
