11,"select top # p.objid, p.ra, p.dec from photoobj p, specobj s where p.objid=s.bestobjid and (p.g BETWEEN # AND #)  and (p.g-p.r BETWEEN # AND #)  and (s.class = &&&) and s.z BETWEEN # AND #"
2019-10-05 08:18:00,1
2019-10-05 08:19:00,1
2019-10-05 08:20:00,1
2019-10-05 08:22:00,1
2019-10-05 08:24:00,1
2019-10-05 08:26:00,1
2019-10-05 08:27:00,4
2019-10-05 08:28:00,1
