13,"INSERT INTO Census (ID, Geog) VALUES (#, geography::STGeomFromText('POLYGON((# #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, #"
2019-10-05 19:19:00,1
2019-10-05 19:20:00,1
2019-10-05 19:21:00,1
2019-10-05 19:22:00,2
2019-10-05 19:23:00,1
2019-10-05 19:25:00,2
2019-10-05 19:28:00,2
2019-10-05 19:29:00,1
2019-10-05 19:30:00,1
2019-10-05 19:32:00,1
