6414,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-10-05 12:32:00,429
2019-10-05 12:33:00,138
2019-10-05 12:34:00,393
2019-10-05 12:35:00,140
2019-10-05 12:36:00,109
2019-10-05 12:37:00,339
2019-10-05 12:39:00,509
2019-10-05 12:40:00,249
2019-10-05 12:41:00,114
2019-10-05 12:42:00,399
2019-10-05 12:43:00,282
2019-10-05 12:47:00,410
2019-10-05 12:48:00,465
2019-10-05 12:49:00,281
2019-10-05 12:50:00,49
2019-10-05 12:51:00,197
2019-10-05 12:52:00,355
2019-10-05 12:53:00,154
2019-10-05 12:54:00,247
2019-10-05 12:56:00,2
2019-10-05 12:57:00,263
2019-10-05 12:58:00,156
2019-10-05 13:00:00,130
2019-10-05 16:39:00,11
2019-10-05 16:40:00,593
