39,"SELECT s.specObjID as spec_id, dbo.fGetUrlFitsSpectrum(s.specObjId) as spec_url FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.ra BETWEEN # AND # AND p.dec BETWEEN # AND # AND p.type=# AND s.snMedian>#"
2019-06-30 05:01:00,1
2019-06-30 05:02:00,5
2019-06-30 05:03:00,5
2019-06-30 05:04:00,5
2019-06-30 05:05:00,5
2019-06-30 05:06:00,4
2019-06-30 05:07:00,2
2019-06-30 05:15:00,1
2019-06-30 05:23:00,2
2019-06-30 18:03:00,3
2019-06-30 18:04:00,5
2019-06-30 18:05:00,1
