26,"select name, type, description from DBObjects where  type in (&&&,&&&) and UPPER(name) like &&&"
2019-06-30 00:37:00,1
2019-06-30 08:18:00,1
2019-06-30 15:14:00,1
2019-06-30 15:18:00,1
2019-06-30 15:38:00,1
2019-06-30 15:41:00,1
2019-06-30 16:24:00,1
2019-06-30 16:25:00,4
2019-06-30 16:26:00,2
2019-06-30 16:52:00,1
2019-06-30 18:30:00,1
2019-06-30 19:29:00,3
2019-06-30 19:30:00,2
2019-06-30 19:32:00,1
2019-06-30 20:03:00,1
2019-06-30 21:51:00,2
2019-06-30 22:02:00,1
2019-06-30 22:07:00,1
