2860,"select  	r.run, r.rerun, r.camcol, r.field, f.fieldId, r.stripe, r.strip,  	r.ra, r.dec, r.raMin, r.raMax, r.decMin, r.decMax,  	r.mu, r.nu, r.incl, r.node, 	r.a, r.b, r.c, r.d, r.e, r.f,  	f.quality, 	f.a_u, f.b_u, f.c_u, f.d_u, f.e_u, f.f_u, 	f.a_g, f.b_g, f.c_g, f.d_g, f.e_g, f.f_g, 	f.a_r, f.b_r, f.c_r, f.d_r, f.e_r, f.f_r, 	f.a_i, f.b_i, f.c_i, f.d_i, f.e_i, f.f_i, 	f.a_z, f.b_z, f.c_z, f.d_z, f.e_z, f.f_z,   dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as u_url, 	dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as g_url, 	dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as r_url, 	dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as i_url, 	dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as z_url   from dbo.fGetNearbyFrameEq(#,#,#,#) n, Frame r, Field f   where f.fieldId=r.fieldId and r.fieldId=n.fieldId and r.zoom=#"
2019-06-30 00:02:00,4
2019-06-30 00:03:00,3
2019-06-30 00:04:00,1
2019-06-30 00:08:00,10
2019-06-30 00:12:00,4
2019-06-30 00:13:00,3
2019-06-30 00:14:00,1
2019-06-30 00:18:00,10
2019-06-30 00:22:00,4
2019-06-30 00:23:00,3
2019-06-30 00:24:00,1
2019-06-30 00:26:00,1
2019-06-30 00:27:00,4
2019-06-30 00:28:00,13
2019-06-30 00:32:00,4
2019-06-30 00:33:00,3
2019-06-30 00:34:00,3
2019-06-30 00:37:00,4
2019-06-30 00:38:00,10
2019-06-30 00:42:00,4
2019-06-30 00:43:00,3
2019-06-30 00:44:00,6
2019-06-30 00:45:00,4
2019-06-30 00:48:00,18
2019-06-30 00:50:00,4
2019-06-30 00:52:00,4
2019-06-30 00:53:00,3
2019-06-30 00:54:00,1
2019-06-30 00:55:00,5
2019-06-30 00:57:00,4
2019-06-30 00:58:00,10
2019-06-30 01:02:00,4
2019-06-30 01:03:00,3
2019-06-30 01:04:00,1
2019-06-30 01:08:00,10
2019-06-30 01:12:00,4
2019-06-30 01:13:00,3
2019-06-30 01:14:00,1
2019-06-30 01:18:00,10
2019-06-30 01:19:00,4
2019-06-30 01:22:00,4
2019-06-30 01:23:00,3
2019-06-30 01:24:00,1
2019-06-30 01:28:00,10
2019-06-30 01:29:00,3
2019-06-30 01:30:00,4
2019-06-30 01:31:00,6
2019-06-30 01:32:00,4
2019-06-30 01:33:00,3
2019-06-30 01:34:00,3
2019-06-30 01:38:00,10
2019-06-30 01:42:00,4
2019-06-30 01:43:00,3
2019-06-30 01:44:00,1
2019-06-30 01:46:00,4
2019-06-30 01:48:00,9
2019-06-30 01:49:00,1
2019-06-30 01:52:00,4
2019-06-30 01:53:00,3
2019-06-30 01:54:00,1
2019-06-30 01:55:00,5
2019-06-30 01:58:00,9
2019-06-30 01:59:00,1
2019-06-30 02:02:00,4
2019-06-30 02:03:00,3
2019-06-30 02:04:00,1
2019-06-30 02:08:00,9
2019-06-30 02:09:00,1
2019-06-30 02:12:00,4
2019-06-30 02:13:00,3
2019-06-30 02:14:00,1
2019-06-30 02:18:00,9
2019-06-30 02:19:00,1
2019-06-30 02:22:00,4
2019-06-30 02:23:00,3
2019-06-30 02:24:00,1
2019-06-30 02:28:00,9
2019-06-30 02:29:00,1
2019-06-30 02:32:00,4
2019-06-30 02:33:00,3
2019-06-30 02:34:00,3
2019-06-30 02:38:00,9
2019-06-30 02:39:00,1
2019-06-30 02:42:00,4
2019-06-30 02:43:00,3
2019-06-30 02:44:00,1
2019-06-30 02:47:00,4
2019-06-30 02:48:00,9
2019-06-30 02:49:00,1
2019-06-30 02:52:00,4
2019-06-30 02:53:00,3
2019-06-30 02:54:00,1
2019-06-30 02:55:00,5
2019-06-30 02:58:00,9
2019-06-30 02:59:00,5
2019-06-30 03:02:00,4
2019-06-30 03:03:00,3
2019-06-30 03:04:00,1
2019-06-30 03:08:00,9
2019-06-30 03:09:00,1
2019-06-30 03:12:00,4
2019-06-30 03:13:00,3
2019-06-30 03:15:00,1
2019-06-30 03:18:00,9
2019-06-30 03:19:00,1
2019-06-30 03:22:00,4
2019-06-30 03:23:00,3
2019-06-30 03:25:00,1
2019-06-30 03:28:00,13
2019-06-30 03:29:00,1
2019-06-30 03:32:00,4
2019-06-30 03:33:00,3
2019-06-30 03:34:00,3
2019-06-30 03:38:00,9
2019-06-30 03:39:00,1
2019-06-30 03:42:00,4
2019-06-30 03:43:00,3
2019-06-30 03:45:00,5
2019-06-30 03:48:00,9
2019-06-30 03:49:00,1
2019-06-30 03:53:00,3
2019-06-30 03:54:00,4
2019-06-30 03:55:00,1
2019-06-30 03:56:00,5
2019-06-30 03:58:00,9
2019-06-30 03:59:00,1
2019-06-30 04:03:00,3
2019-06-30 04:04:00,4
2019-06-30 04:05:00,1
2019-06-30 04:08:00,9
2019-06-30 04:09:00,1
2019-06-30 04:13:00,3
2019-06-30 04:14:00,4
2019-06-30 04:15:00,1
2019-06-30 04:16:00,5
2019-06-30 04:18:00,9
2019-06-30 04:19:00,1
2019-06-30 04:23:00,7
2019-06-30 04:24:00,4
2019-06-30 04:25:00,15
2019-06-30 04:26:00,3
2019-06-30 04:27:00,3
2019-06-30 04:28:00,9
2019-06-30 04:29:00,7
2019-06-30 04:30:00,4
2019-06-30 04:31:00,2
2019-06-30 04:33:00,3
2019-06-30 04:34:00,6
2019-06-30 04:35:00,1
2019-06-30 04:38:00,9
2019-06-30 04:39:00,1
2019-06-30 04:41:00,3
2019-06-30 04:43:00,3
2019-06-30 04:44:00,4
2019-06-30 04:45:00,5
2019-06-30 04:48:00,9
2019-06-30 04:49:00,1
2019-06-30 04:51:00,3
2019-06-30 04:52:00,1
2019-06-30 04:53:00,3
2019-06-30 04:54:00,8
2019-06-30 04:55:00,4
2019-06-30 04:56:00,2
2019-06-30 04:58:00,9
2019-06-30 04:59:00,1
2019-06-30 05:03:00,3
2019-06-30 05:04:00,4
2019-06-30 05:05:00,1
2019-06-30 05:08:00,9
2019-06-30 05:09:00,1
2019-06-30 05:12:00,4
2019-06-30 05:13:00,3
2019-06-30 05:14:00,4
2019-06-30 05:15:00,1
2019-06-30 05:18:00,9
2019-06-30 05:19:00,1
2019-06-30 05:23:00,3
2019-06-30 05:24:00,4
2019-06-30 05:25:00,1
2019-06-30 05:28:00,9
2019-06-30 05:29:00,5
2019-06-30 05:31:00,1
2019-06-30 05:33:00,3
2019-06-30 05:34:00,7
2019-06-30 05:35:00,2
2019-06-30 05:36:00,1
2019-06-30 05:37:00,1
2019-06-30 05:38:00,9
2019-06-30 05:39:00,6
2019-06-30 05:43:00,3
2019-06-30 05:44:00,8
2019-06-30 05:45:00,1
2019-06-30 05:46:00,4
2019-06-30 05:48:00,9
2019-06-30 05:49:00,1
2019-06-30 05:53:00,3
2019-06-30 05:54:00,8
2019-06-30 05:55:00,6
2019-06-30 05:58:00,9
