23,"SELECT top #    p.ra,p.dec ,p.type_r  FROM PhotoObjAll as p     WHERE p.type = # AND   p.ra between # and # AND   p.dec between # and #"
2019-08-24 02:05:00,1
2019-08-24 02:46:00,1
2019-08-24 03:05:00,1
2019-08-24 03:38:00,1
2019-08-24 04:22:00,1
2019-08-24 04:44:00,1
2019-08-24 05:21:00,1
2019-08-24 05:37:00,1
2019-08-24 06:00:00,1
2019-08-24 06:23:00,2
2019-08-24 07:02:00,1
2019-08-24 07:31:00,1
2019-08-24 08:03:00,1
2019-08-24 08:16:00,1
2019-08-24 08:20:00,1
2019-08-24 08:46:00,2
2019-08-24 15:15:00,1
2019-08-24 15:35:00,1
2019-08-24 15:50:00,1
2019-08-24 16:11:00,1
2019-08-24 16:32:00,1
