51,"select top # p.objid,p.ra,p.dec,dbo.fPhotoTypeN(p.type) as type,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z  from PhotoPrimary p, dbo.fGetNearbyObjEq(#,#,#) n  where p.objId=n.objId"
2019-08-24 00:45:00,1
2019-08-24 01:45:00,1
2019-08-24 02:45:00,1
2019-08-24 03:44:00,1
2019-08-24 04:46:00,1
2019-08-24 05:44:00,1
2019-08-24 06:45:00,1
2019-08-24 07:45:00,1
2019-08-24 08:44:00,1
2019-08-24 09:43:00,1
2019-08-24 09:45:00,2
2019-08-24 09:46:00,1
2019-08-24 10:45:00,1
2019-08-24 10:46:00,1
2019-08-24 11:45:00,1
2019-08-24 12:45:00,1
2019-08-24 13:45:00,1
2019-08-24 14:45:00,1
2019-08-24 15:45:00,1
2019-08-24 16:39:00,9
2019-08-24 16:45:00,1
2019-08-24 16:53:00,1
2019-08-24 16:54:00,8
2019-08-24 17:45:00,1
2019-08-24 18:46:00,1
2019-08-24 19:45:00,1
2019-08-24 19:58:00,9
