2,"select a.*,t.objid as matchedID, s.z from #tmp t   JOIN MYDB.Red_E_Galaxies_Spec a ON t.up_id = a.searchID   JOIN specobj s ON s.bestobjid=t.objid"
2019-08-24 09:29:00,1
2019-08-24 13:58:00,1
