957,"select p.ra, p.dec, no.distance from PhotoObj as p, dbo.fGetNearestObjEq(#,#,#) as no where p.objID = no.objID"
2019-01-26 00:16:00,1
2019-01-26 00:17:00,6
2019-01-26 00:18:00,6
2019-01-26 00:19:00,6
2019-01-26 00:20:00,6
2019-01-26 00:21:00,6
2019-01-26 00:22:00,1
2019-01-26 00:55:00,1
2019-01-26 00:56:00,6
2019-01-26 00:57:00,7
2019-01-26 00:58:00,6
2019-01-26 00:59:00,6
2019-01-26 01:00:00,6
2019-01-26 01:01:00,6
2019-01-26 01:02:00,5
2019-01-26 01:03:00,6
2019-01-26 01:04:00,6
2019-01-26 01:05:00,6
2019-01-26 01:06:00,6
2019-01-26 01:07:00,6
2019-01-26 01:08:00,7
2019-01-26 01:09:00,6
2019-01-26 01:10:00,6
2019-01-26 01:11:00,6
2019-01-26 01:12:00,7
2019-01-26 01:13:00,6
2019-01-26 01:14:00,5
2019-01-26 01:15:00,6
2019-01-26 01:16:00,5
2019-01-26 01:17:00,6
2019-01-26 01:18:00,5
2019-01-26 01:19:00,6
2019-01-26 01:20:00,5
2019-01-26 01:21:00,5
2019-01-26 01:22:00,6
2019-01-26 01:23:00,5
2019-01-26 01:24:00,5
2019-01-26 01:25:00,5
2019-01-26 01:26:00,5
2019-01-26 01:27:00,6
2019-01-26 01:28:00,5
2019-01-26 01:29:00,5
2019-01-26 01:30:00,5
2019-01-26 01:31:00,5
2019-01-26 01:32:00,6
2019-01-26 01:33:00,5
2019-01-26 01:34:00,5
2019-01-26 01:35:00,6
2019-01-26 01:36:00,5
2019-01-26 01:37:00,5
2019-01-26 01:38:00,7
2019-01-26 01:39:00,6
2019-01-26 01:40:00,4
2019-01-26 01:41:00,7
2019-01-26 01:42:00,5
2019-01-26 01:43:00,6
2019-01-26 01:44:00,7
2019-01-26 01:45:00,6
2019-01-26 01:46:00,4
2019-01-26 02:52:00,5
2019-01-26 02:53:00,6
2019-01-26 02:54:00,7
2019-01-26 02:55:00,5
2019-01-26 02:56:00,6
2019-01-26 02:57:00,7
2019-01-26 02:58:00,5
2019-01-26 02:59:00,6
2019-01-26 03:00:00,6
2019-01-26 03:01:00,6
2019-01-26 03:02:00,7
2019-01-26 03:03:00,6
2019-01-26 03:04:00,6
2019-01-26 03:05:00,7
2019-01-26 03:06:00,6
2019-01-26 03:07:00,6
2019-01-26 03:08:00,7
2019-01-26 03:09:00,6
2019-01-26 03:10:00,6
2019-01-26 03:11:00,5
2019-01-26 03:12:00,6
2019-01-26 03:13:00,6
2019-01-26 03:14:00,6
2019-01-26 03:15:00,6
2019-01-26 03:16:00,5
2019-01-26 03:17:00,6
2019-01-26 03:18:00,6
2019-01-26 03:19:00,5
2019-01-26 03:20:00,5
2019-01-26 03:21:00,6
2019-01-26 03:22:00,6
2019-01-26 03:23:00,6
2019-01-26 03:24:00,5
2019-01-26 03:25:00,6
2019-01-26 03:26:00,5
2019-01-26 03:27:00,6
2019-01-26 03:28:00,6
2019-01-26 03:29:00,5
2019-01-26 03:30:00,6
2019-01-26 03:31:00,6
2019-01-26 03:32:00,6
2019-01-26 03:33:00,6
2019-01-26 03:34:00,7
2019-01-26 03:35:00,6
2019-01-26 03:36:00,7
2019-01-26 03:37:00,6
2019-01-26 03:38:00,6
2019-01-26 03:39:00,7
2019-01-26 03:40:00,6
2019-01-26 03:41:00,7
2019-01-26 03:42:00,6
2019-01-26 03:43:00,6
2019-01-26 03:44:00,6
2019-01-26 03:45:00,7
2019-01-26 03:46:00,7
2019-01-26 03:47:00,5
2019-01-26 03:48:00,7
2019-01-26 03:49:00,8
2019-01-26 03:50:00,6
2019-01-26 03:51:00,6
2019-01-26 03:52:00,6
2019-01-26 03:53:00,7
2019-01-26 03:54:00,6
2019-01-26 03:55:00,7
2019-01-26 03:56:00,7
2019-01-26 03:57:00,7
2019-01-26 03:58:00,7
2019-01-26 03:59:00,6
2019-01-26 04:00:00,6
2019-01-26 04:01:00,6
2019-01-26 04:02:00,6
2019-01-26 04:03:00,6
2019-01-26 04:04:00,5
2019-01-26 04:05:00,4
2019-01-26 04:06:00,3
2019-01-26 04:07:00,2
2019-01-26 04:08:00,6
2019-01-26 04:09:00,3
2019-01-26 04:10:00,2
2019-01-26 04:11:00,2
2019-01-26 04:12:00,5
2019-01-26 04:13:00,5
2019-01-26 04:14:00,3
2019-01-26 04:15:00,3
2019-01-26 04:16:00,2
2019-01-26 04:17:00,4
2019-01-26 04:18:00,6
2019-01-26 04:19:00,6
2019-01-26 04:20:00,6
2019-01-26 04:21:00,6
2019-01-26 04:22:00,3
2019-01-26 04:23:00,4
2019-01-26 04:24:00,4
2019-01-26 04:25:00,4
2019-01-26 04:26:00,8
2019-01-26 04:27:00,8
2019-01-26 04:28:00,9
2019-01-26 04:29:00,8
2019-01-26 04:30:00,8
2019-01-26 04:31:00,7
2019-01-26 04:32:00,8
2019-01-26 04:33:00,8
2019-01-26 04:34:00,9
2019-01-26 04:35:00,9
2019-01-26 04:36:00,8
2019-01-26 04:37:00,8
2019-01-26 04:38:00,9
