6866,"SELECT z, ra, dec, objID FROM SPECPhoto WHERE z> # AND z< # AND ra> # AND ra< # AND dec> # AND dec< # AND type=#"
2019-01-26 11:06:00,327
2019-01-26 11:07:00,6491
2019-01-26 11:09:00,2
2019-01-26 11:10:00,2
2019-01-26 11:11:00,4
2019-01-26 11:12:00,4
2019-01-26 11:13:00,2
2019-01-26 11:15:00,4
2019-01-26 11:17:00,4
2019-01-26 12:31:00,4
2019-01-26 12:32:00,2
2019-01-26 12:56:00,2
2019-01-26 13:07:00,2
2019-01-26 13:13:00,2
2019-01-26 13:14:00,2
2019-01-26 13:15:00,4
2019-01-26 13:18:00,4
2019-01-26 18:12:00,2
2019-01-26 18:13:00,2
