878,select fieldid from field where cccol_u between # and # and skyframes_r between # and #
2019-01-26 04:07:00,14
2019-01-26 04:35:00,4
2019-01-26 06:08:00,62
2019-01-26 07:52:00,3
2019-01-26 09:38:00,1
2019-01-26 09:39:00,17
2019-01-26 10:09:00,6
2019-01-26 10:22:00,1
2019-01-26 10:51:00,33
2019-01-26 11:05:00,3
2019-01-26 11:18:00,1
2019-01-26 11:44:00,35
2019-01-26 11:57:00,1
2019-01-26 12:02:00,4
2019-01-26 12:03:00,6
2019-01-26 13:21:00,14
2019-01-26 13:34:00,2
2019-01-26 15:38:00,259
2019-01-26 15:39:00,270
2019-01-26 15:40:00,40
2019-01-26 16:20:00,3
2019-01-26 17:42:00,12
2019-01-26 17:43:00,1
2019-01-26 18:34:00,2
2019-01-26 19:43:00,69
2019-01-26 20:14:00,3
2019-01-26 21:10:00,5
2019-01-26 21:11:00,7
