398,"SELECT  top # p.objid,    p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n JOIN PhotoPrimary p ON n.objID=p.objID"
2019-11-10 14:42:00,3
2019-11-10 14:47:00,1
2019-11-10 14:49:00,1
2019-11-10 14:53:00,1
2019-11-10 14:58:00,1
2019-11-10 15:03:00,1
2019-11-10 15:07:00,1
2019-11-10 15:10:00,1
2019-11-10 15:12:00,1
2019-11-10 15:14:00,1
2019-11-10 15:18:00,1
2019-11-10 15:23:00,1
2019-11-10 15:27:00,1
2019-11-10 15:32:00,1
2019-11-10 15:34:00,1
2019-11-10 15:36:00,1
2019-11-10 15:40:00,1
2019-11-10 15:45:00,1
2019-11-10 15:49:00,1
2019-11-10 15:51:00,1
2019-11-10 15:54:00,1
2019-11-10 15:59:00,1
2019-11-10 16:03:00,1
2019-11-10 16:08:00,1
2019-11-10 16:12:00,1
2019-11-10 16:17:00,1
2019-11-10 16:21:00,1
2019-11-10 16:26:00,1
2019-11-10 16:30:00,1
2019-11-10 16:38:00,1
2019-11-10 16:40:00,1
2019-11-10 16:46:00,1
2019-11-10 16:51:00,1
2019-11-10 16:56:00,1
2019-11-10 17:00:00,1
2019-11-10 17:05:00,1
2019-11-10 17:08:00,1
2019-11-10 17:15:00,1
2019-11-10 17:20:00,1
2019-11-10 17:25:00,1
2019-11-10 17:29:00,1
2019-11-10 17:34:00,1
2019-11-10 17:38:00,1
2019-11-10 17:41:00,1
2019-11-10 17:43:00,1
2019-11-10 17:50:00,1
2019-11-10 17:53:00,1
2019-11-10 17:58:00,1
2019-11-10 18:02:00,1
2019-11-10 18:09:00,2
2019-11-10 18:14:00,1
2019-11-10 18:16:00,1
2019-11-10 18:18:00,1
2019-11-10 18:20:00,1
2019-11-10 18:22:00,1
2019-11-10 18:25:00,1
2019-11-10 18:27:00,1
2019-11-10 18:29:00,1
2019-11-10 18:31:00,1
2019-11-10 18:33:00,1
2019-11-10 18:35:00,1
2019-11-10 18:38:00,1
2019-11-10 18:39:00,1
2019-11-10 18:42:00,2
2019-11-10 18:47:00,1
2019-11-10 18:50:00,1
2019-11-10 18:53:00,1
2019-11-10 18:55:00,1
2019-11-10 18:58:00,1
2019-11-10 19:01:00,1
2019-11-10 19:06:00,2
2019-11-10 19:10:00,1
2019-11-10 19:12:00,1
2019-11-10 19:14:00,1
2019-11-10 19:21:00,1
2019-11-10 19:26:00,1
2019-11-10 19:30:00,1
2019-11-10 19:35:00,1
2019-11-10 19:39:00,1
2019-11-10 19:44:00,1
2019-11-10 19:49:00,1
2019-11-10 19:53:00,2
2019-11-10 19:55:00,2
2019-11-10 19:57:00,3
2019-11-10 20:02:00,1
2019-11-10 20:04:00,3
2019-11-10 20:07:00,1
2019-11-10 20:09:00,2
2019-11-10 20:14:00,1
2019-11-10 20:16:00,1
2019-11-10 20:18:00,1
2019-11-10 20:27:00,1
2019-11-10 20:30:00,1
2019-11-10 20:34:00,1
2019-11-10 20:39:00,3
2019-11-10 20:41:00,1
2019-11-10 20:45:00,2
2019-11-10 20:50:00,1
2019-11-10 20:52:00,2
2019-11-10 20:54:00,1
2019-11-10 20:57:00,2
2019-11-10 21:01:00,1
2019-11-10 21:06:00,1
2019-11-10 21:08:00,1
2019-11-10 21:10:00,1
2019-11-10 21:14:00,1
2019-11-10 21:19:00,1
2019-11-10 21:20:00,1
2019-11-10 21:24:00,1
2019-11-10 21:34:00,1
2019-11-10 21:36:00,1
2019-11-10 21:37:00,1
2019-11-10 21:39:00,1
2019-11-10 21:42:00,1
2019-11-10 21:47:00,1
2019-11-10 21:51:00,1
2019-11-10 21:56:00,2
2019-11-10 22:03:00,1
2019-11-10 22:08:00,1
2019-11-10 22:12:00,3
2019-11-10 22:17:00,1
2019-11-10 22:19:00,1
2019-11-10 22:26:00,1
2019-11-10 22:31:00,1
2019-11-10 22:36:00,1
2019-11-10 22:40:00,1
2019-11-10 22:45:00,3
2019-11-10 22:52:00,1
2019-11-10 22:55:00,1
2019-11-10 22:58:00,1
2019-11-10 23:00:00,1
2019-11-10 23:02:00,1
2019-11-10 23:04:00,1
2019-11-10 23:06:00,1
2019-11-10 23:14:00,1
2019-11-10 23:18:00,1
2019-11-10 23:23:00,1
2019-11-10 23:27:00,1
2019-11-10 23:34:00,1
2019-11-10 23:44:00,1
2019-11-10 23:51:00,1
2019-11-10 23:55:00,1
2019-11-10 23:56:00,1
2019-11-10 23:57:00,1
2019-11-10 23:59:00,1
