83,"SELECT TOP # p.ra,p.dec,p.type,p.modelmag_g,p.modelmag_r,p.modelmag_i,p.run,p.rerun,p.camcol,p.field,p.obj,p.objid,dbo.fIAUFromEq(p.ra,p.dec) FROM Star as p WHERE p.modelmag_r># and p.modelmag_r<# and p.ra<# and p.ra># and p.dec># and p.dec<# order by p.modelmag_r"
2019-02-17 06:10:00,5
2019-02-17 06:11:00,6
2019-02-17 06:14:00,2
2019-02-17 06:15:00,4
2019-02-17 06:16:00,6
2019-02-17 06:17:00,4
2019-02-17 06:18:00,4
2019-02-17 06:19:00,6
2019-02-17 06:20:00,2
2019-02-17 06:24:00,1
2019-02-17 06:27:00,7
2019-02-17 06:29:00,1
2019-02-17 06:30:00,1
2019-02-17 06:31:00,2
2019-02-17 15:19:00,1
2019-02-17 15:23:00,1
2019-02-17 15:25:00,2
2019-02-17 15:26:00,2
2019-02-17 15:27:00,7
2019-02-17 15:28:00,4
2019-02-17 15:30:00,2
2019-02-17 15:31:00,3
2019-02-17 15:33:00,2
2019-02-17 15:34:00,1
2019-02-17 15:45:00,2
2019-02-17 15:46:00,4
2019-02-17 22:07:00,1
