180,"SELECT dbo.fInFootprintEq( #, #, # )"
2019-02-17 06:01:00,1
2019-02-17 06:02:00,4
2019-02-17 06:03:00,5
2019-02-17 06:04:00,4
2019-02-17 06:05:00,4
2019-02-17 06:06:00,5
2019-02-17 06:07:00,10
2019-02-17 06:08:00,11
2019-02-17 06:09:00,4
2019-02-17 06:10:00,11
2019-02-17 06:11:00,13
2019-02-17 06:12:00,14
2019-02-17 06:13:00,11
2019-02-17 06:14:00,5
2019-02-17 06:15:00,12
2019-02-17 06:16:00,14
2019-02-17 06:17:00,13
2019-02-17 06:18:00,11
2019-02-17 06:19:00,6
2019-02-17 06:20:00,7
2019-02-17 06:21:00,9
2019-02-17 06:22:00,5
2019-02-17 06:31:00,1
