1813,SELECT DISTINCT p.* FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))
2019-02-17 16:13:00,7
2019-02-17 16:14:00,3
2019-02-17 16:16:00,7
2019-02-17 16:17:00,26
2019-02-17 16:18:00,31
2019-02-17 16:19:00,26
2019-02-17 16:20:00,24
2019-02-17 16:21:00,28
2019-02-17 16:22:00,34
2019-02-17 16:23:00,36
2019-02-17 16:24:00,25
2019-02-17 16:25:00,28
2019-02-17 16:26:00,30
2019-02-17 16:27:00,34
2019-02-17 16:28:00,37
2019-02-17 16:29:00,36
2019-02-17 16:30:00,32
2019-02-17 16:31:00,33
2019-02-17 16:32:00,35
2019-02-17 16:33:00,33
2019-02-17 16:34:00,29
2019-02-17 16:35:00,23
2019-02-17 16:36:00,24
2019-02-17 16:37:00,11
2019-02-17 16:38:00,12
2019-02-17 16:39:00,12
2019-02-17 16:40:00,22
2019-02-17 16:41:00,29
2019-02-17 16:42:00,32
2019-02-17 16:43:00,37
2019-02-17 16:44:00,20
2019-02-17 16:45:00,9
2019-02-17 16:46:00,6
2019-02-17 16:47:00,9
2019-02-17 16:48:00,8
2019-02-17 16:49:00,8
2019-02-17 16:50:00,8
2019-02-17 16:51:00,4
2019-02-17 16:52:00,11
2019-02-17 16:53:00,6
2019-02-17 16:54:00,11
2019-02-17 16:55:00,5
2019-02-17 16:56:00,9
2019-02-17 16:57:00,8
2019-02-17 16:58:00,8
2019-02-17 16:59:00,6
2019-02-17 17:00:00,8
2019-02-17 17:01:00,9
2019-02-17 17:02:00,9
2019-02-17 17:03:00,8
2019-02-17 17:04:00,10
2019-02-17 17:05:00,22
2019-02-17 17:06:00,19
2019-02-17 17:07:00,34
2019-02-17 17:08:00,32
2019-02-17 17:09:00,32
2019-02-17 17:10:00,27
2019-02-17 17:11:00,32
2019-02-17 17:12:00,32
2019-02-17 17:13:00,29
2019-02-17 17:14:00,30
2019-02-17 17:15:00,32
2019-02-17 17:16:00,14
2019-02-17 17:17:00,11
2019-02-17 17:18:00,5
2019-02-17 17:19:00,11
2019-02-17 17:20:00,6
2019-02-17 17:21:00,11
2019-02-17 17:22:00,6
2019-02-17 17:23:00,10
2019-02-17 17:24:00,26
2019-02-17 17:25:00,32
2019-02-17 17:26:00,32
2019-02-17 17:27:00,33
2019-02-17 17:28:00,31
2019-02-17 17:29:00,36
2019-02-17 17:30:00,36
2019-02-17 17:31:00,28
2019-02-17 17:32:00,37
2019-02-17 17:33:00,2
2019-02-17 17:34:00,2
2019-02-17 17:37:00,5
2019-02-17 17:38:00,2
2019-02-17 17:39:00,1
2019-02-17 17:40:00,1
2019-02-17 17:41:00,3
2019-02-17 17:42:00,1
2019-02-17 17:43:00,4
2019-02-17 17:45:00,2
2019-02-17 17:46:00,2
2019-02-17 17:47:00,2
2019-02-17 17:48:00,2
2019-02-17 17:49:00,2
2019-02-17 17:51:00,3
2019-02-17 17:52:00,2
2019-02-17 17:54:00,3
2019-02-17 17:55:00,3
2019-02-17 17:57:00,2
2019-02-17 17:58:00,1
2019-02-17 17:59:00,1
2019-02-17 18:00:00,2
2019-02-17 18:01:00,1
2019-02-17 18:03:00,1
2019-02-17 18:04:00,4
2019-02-17 18:05:00,2
2019-02-17 18:06:00,2
2019-02-17 18:07:00,4
2019-02-17 18:10:00,1
2019-02-17 18:11:00,2
2019-02-17 18:12:00,1
2019-02-17 18:14:00,1
2019-02-17 18:15:00,1
2019-02-17 18:18:00,1
2019-02-17 18:20:00,1
2019-02-17 18:21:00,1
2019-02-17 18:22:00,2
2019-02-17 18:23:00,2
2019-02-17 18:24:00,1
2019-02-17 18:25:00,1
2019-02-17 18:27:00,1
2019-02-17 18:28:00,1
2019-02-17 18:29:00,3
2019-02-17 18:30:00,4
2019-02-17 18:31:00,2
2019-02-17 18:32:00,2
2019-02-17 18:33:00,2
2019-02-17 18:34:00,6
2019-02-17 18:35:00,2
2019-02-17 18:36:00,3
2019-02-17 18:37:00,1
2019-02-17 18:38:00,1
2019-02-17 18:39:00,2
2019-02-17 18:40:00,2
2019-02-17 18:42:00,2
2019-02-17 18:44:00,2
2019-02-17 18:45:00,2
2019-02-17 18:46:00,1
2019-02-17 18:47:00,1
2019-02-17 18:51:00,2
2019-02-17 18:53:00,1
2019-02-17 18:54:00,1
2019-02-17 18:56:00,3
2019-02-17 18:57:00,1
2019-02-17 19:31:00,1
2019-02-17 19:32:00,1
2019-02-17 19:33:00,1
2019-02-17 19:34:00,1
2019-02-17 19:35:00,2
2019-02-17 19:36:00,3
2019-02-17 19:37:00,1
2019-02-17 19:38:00,2
2019-02-17 19:39:00,1
2019-02-17 19:40:00,3
2019-02-17 19:41:00,1
2019-02-17 19:42:00,1
2019-02-17 19:44:00,2
2019-02-17 19:45:00,2
2019-02-17 19:46:00,1
2019-02-17 19:47:00,2
2019-02-17 19:48:00,1
2019-02-17 19:51:00,3
2019-02-17 19:52:00,2
2019-02-17 19:54:00,3
2019-02-17 19:56:00,1
2019-02-17 19:57:00,3
2019-02-17 19:58:00,1
2019-02-17 19:59:00,1
2019-02-17 20:00:00,3
2019-02-17 20:02:00,1
2019-02-17 20:03:00,1
2019-02-17 20:04:00,1
