2119,"select specObjID, objID, ra, dec, z from SpecPhotoAll where ra between # and # and dec between # and # and z between # and # and type = #"
2019-02-17 20:48:00,52
2019-02-17 20:49:00,53
2019-02-17 20:51:00,53
2019-02-17 20:52:00,111
2019-02-17 20:53:00,102
2019-02-17 20:54:00,97
2019-02-17 20:55:00,103
2019-02-17 20:56:00,88
2019-02-17 20:57:00,104
2019-02-17 20:58:00,93
2019-02-17 20:59:00,102
2019-02-17 21:00:00,99
2019-02-17 21:01:00,97
2019-02-17 21:02:00,94
2019-02-17 21:03:00,92
2019-02-17 21:04:00,84
2019-02-17 21:05:00,94
2019-02-17 21:06:00,86
2019-02-17 21:07:00,92
2019-02-17 21:08:00,93
2019-02-17 21:09:00,93
2019-02-17 21:10:00,87
2019-02-17 21:11:00,88
2019-02-17 21:12:00,62
