350,"SELECT DISTINCT p.ra, p.dec, p.objid, p.run, p.rerun, p.camcol, p.field FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-03-28 00:40:00,1
2019-03-28 01:21:00,1
2019-03-28 01:40:00,1
2019-03-28 03:13:00,1
2019-03-28 03:33:00,1
2019-03-28 03:48:00,1
2019-03-28 05:23:00,1
2019-03-28 05:24:00,1
2019-03-28 05:25:00,3
2019-03-28 05:28:00,33
2019-03-28 05:29:00,131
2019-03-28 05:30:00,12
2019-03-28 06:05:00,1
2019-03-28 06:21:00,38
2019-03-28 06:41:00,5
2019-03-28 07:02:00,1
2019-03-28 08:26:00,3
2019-03-28 08:27:00,7
2019-03-28 08:28:00,7
2019-03-28 08:29:00,6
2019-03-28 08:30:00,7
2019-03-28 08:31:00,1
2019-03-28 08:32:00,5
2019-03-28 08:33:00,8
2019-03-28 08:34:00,2
2019-03-28 15:41:00,35
2019-03-28 16:04:00,21
2019-03-28 16:05:00,14
2019-03-28 20:40:00,1
2019-03-28 20:43:00,1
