3,"SELECT ra, dec into mydb.spec_star_#_# from dr1#.SpecObj WHERE class = &&& AND ra BETWEEN # and # AND dec BETWEEN # and #"
2019-03-28 09:20:00,1
2019-03-28 09:21:00,2
