337,"SELECT TOP #  G.ra,G.dec,G.modelMag_r,G.modelMagErr_r,G.extinction_r,  sp.z,sp.zErr,  G.modelFlux_u,  G.modelFlux_g,  G.modelFlux_r,  G.modelFlux_i,  G.modelFlux_z,  G.modelFluxIvar_u,G.modelFluxIvar_g,G.modelFluxIvar_r,G.modelFluxIvar_i,G.modelFluxIvar_z,GN.distance  FROM  dbo.fGetNearbyObjEq(#, #, #) AS GN  JOIN Galaxy AS G ON GN.objID = G.objID  JOIN PhotoTag AS pt ON pt.objID = G.objID  JOIN specPhoto AS sp ON GN.objID = sp.objID  ORDER by distance"
2019-03-28 09:51:00,1
2019-03-28 09:52:00,9
2019-03-28 09:53:00,3
2019-03-28 09:54:00,11
2019-03-28 09:55:00,7
2019-03-28 09:56:00,10
2019-03-28 09:57:00,6
2019-03-28 09:58:00,10
2019-03-28 09:59:00,9
2019-03-28 10:00:00,8
2019-03-28 10:01:00,7
2019-03-28 10:02:00,5
2019-03-28 10:03:00,8
2019-03-28 10:04:00,10
2019-03-28 10:05:00,5
2019-03-28 10:06:00,6
2019-03-28 10:07:00,7
2019-03-28 10:08:00,9
2019-03-28 10:09:00,9
2019-03-28 10:10:00,3
2019-03-28 10:11:00,11
2019-03-28 10:12:00,9
2019-03-28 10:13:00,1
2019-03-28 10:14:00,13
2019-03-28 10:15:00,4
2019-03-28 10:16:00,5
2019-03-28 10:17:00,6
2019-03-28 10:18:00,9
2019-03-28 10:19:00,11
2019-03-28 10:20:00,7
2019-03-28 10:21:00,9
2019-03-28 10:22:00,4
2019-03-28 10:23:00,1
2019-03-28 10:24:00,6
2019-03-28 10:25:00,5
2019-03-28 10:26:00,5
2019-03-28 10:27:00,4
2019-03-28 10:28:00,4
2019-03-28 10:29:00,2
2019-03-28 10:30:00,2
2019-03-28 10:34:00,4
2019-03-28 10:35:00,6
2019-03-28 10:36:00,4
2019-03-28 10:37:00,2
2019-03-28 10:38:00,6
2019-03-28 10:39:00,5
2019-03-28 10:40:00,4
2019-03-28 10:41:00,5
2019-03-28 10:48:00,1
2019-03-28 10:49:00,4
2019-03-28 10:50:00,6
2019-03-28 10:51:00,3
2019-03-28 10:52:00,2
2019-03-28 10:53:00,1
2019-03-28 10:54:00,3
2019-03-28 10:55:00,1
2019-03-28 10:56:00,4
2019-03-28 10:58:00,4
2019-03-28 10:59:00,5
2019-03-28 11:00:00,3
2019-03-28 11:01:00,3
