18,"SELECT TOP # objID, ra, dec, modelMag_u, modelMag_g, modelMag_r, modelMag_i, modelMag_z, clean FROM StarTag WHERE ra BETWEEN # AND # AND dec BETWEEN # AND # AND modelMag_r BETWEEN # AND # AND clean = #"
2019-03-28 20:40:00,1
2019-03-28 20:47:00,1
2019-03-28 21:00:00,1
2019-03-28 21:11:00,1
2019-03-28 21:24:00,1
2019-03-28 21:36:00,1
2019-03-28 21:48:00,1
2019-03-28 21:59:00,1
2019-03-28 22:12:00,1
2019-03-28 22:23:00,1
2019-03-28 22:35:00,1
2019-03-28 22:47:00,1
2019-03-28 22:59:00,1
2019-03-28 23:11:00,1
2019-03-28 23:22:00,1
2019-03-28 23:34:00,1
2019-03-28 23:45:00,1
2019-03-28 23:57:00,1
