21,"SELECT DISTINCT p.run, p.rerun, p.camcol, p.field FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p WHERE n.objID=p.objID"
2019-09-18 10:27:00,1
2019-09-18 10:32:00,1
2019-09-18 10:36:00,1
2019-09-18 10:40:00,1
2019-09-18 10:44:00,1
2019-09-18 10:49:00,1
2019-09-18 10:53:00,1
2019-09-18 10:57:00,1
2019-09-18 11:01:00,1
2019-09-18 11:08:00,1
2019-09-18 11:14:00,1
2019-09-18 11:21:00,1
2019-09-18 11:27:00,1
2019-09-18 11:33:00,1
2019-09-18 11:42:00,1
2019-09-18 11:50:00,1
2019-09-18 11:59:00,1
2019-09-18 12:08:00,1
2019-09-18 12:18:00,1
2019-09-18 12:29:00,1
2019-09-18 12:39:00,1
