5188,"SELECT Distinct s.specObjID, s.ra, s.dec     FROM dbo.SpecObjAll AS s     INNER JOIN dbo.PhotoObjAll AS p on s.bestObjID = p.objID     INNER JOIN dbo.SpecLineAll AS l on s.specObjID = l.specObjID     WHERE SQRT(SQUARE(s.ra - #) + SQUARE(s.dec - #)) < #/# and s.z > # and l.ew > #"
2019-09-18 16:38:00,5
2019-09-18 16:39:00,25
2019-09-18 16:40:00,7
2019-09-18 16:42:00,34
2019-09-18 16:43:00,52
2019-09-18 16:44:00,48
2019-09-18 16:45:00,53
2019-09-18 16:46:00,51
2019-09-18 16:47:00,53
2019-09-18 16:48:00,52
2019-09-18 16:49:00,56
2019-09-18 16:50:00,50
2019-09-18 16:51:00,53
2019-09-18 16:52:00,50
2019-09-18 16:53:00,54
2019-09-18 16:54:00,54
2019-09-18 16:55:00,55
2019-09-18 16:56:00,52
2019-09-18 16:57:00,53
2019-09-18 16:58:00,55
2019-09-18 16:59:00,52
2019-09-18 17:00:00,51
2019-09-18 17:01:00,44
2019-09-18 17:02:00,51
2019-09-18 17:03:00,54
2019-09-18 17:04:00,57
2019-09-18 17:05:00,53
2019-09-18 17:06:00,53
2019-09-18 17:07:00,57
2019-09-18 17:08:00,50
2019-09-18 17:09:00,58
2019-09-18 17:10:00,49
2019-09-18 17:11:00,51
2019-09-18 17:12:00,51
2019-09-18 17:13:00,52
2019-09-18 17:14:00,51
2019-09-18 17:15:00,53
2019-09-18 17:16:00,53
2019-09-18 17:17:00,54
2019-09-18 17:18:00,54
2019-09-18 17:19:00,52
2019-09-18 17:20:00,55
2019-09-18 17:21:00,52
2019-09-18 17:22:00,55
2019-09-18 17:23:00,54
2019-09-18 17:24:00,55
2019-09-18 17:25:00,56
2019-09-18 17:26:00,54
2019-09-18 17:27:00,55
2019-09-18 17:28:00,54
2019-09-18 17:29:00,53
2019-09-18 17:30:00,37
2019-09-18 17:31:00,59
2019-09-18 17:32:00,56
2019-09-18 17:33:00,56
2019-09-18 17:34:00,58
2019-09-18 17:35:00,56
2019-09-18 17:36:00,56
2019-09-18 17:37:00,54
2019-09-18 17:38:00,60
2019-09-18 17:39:00,56
2019-09-18 17:40:00,61
2019-09-18 17:41:00,57
2019-09-18 17:42:00,56
2019-09-18 17:43:00,53
2019-09-18 17:44:00,55
2019-09-18 17:45:00,55
2019-09-18 17:46:00,52
2019-09-18 17:47:00,57
2019-09-18 17:48:00,43
2019-09-18 17:49:00,57
2019-09-18 17:50:00,56
2019-09-18 17:51:00,58
2019-09-18 17:52:00,56
2019-09-18 17:53:00,57
2019-09-18 17:54:00,54
2019-09-18 17:55:00,55
2019-09-18 17:56:00,61
2019-09-18 17:57:00,54
2019-09-18 17:58:00,56
2019-09-18 17:59:00,54
2019-09-18 18:00:00,51
2019-09-18 18:01:00,53
2019-09-18 18:02:00,54
2019-09-18 18:03:00,55
2019-09-18 18:04:00,54
2019-09-18 18:05:00,57
2019-09-18 18:06:00,50
2019-09-18 18:07:00,56
2019-09-18 18:08:00,46
2019-09-18 18:09:00,60
2019-09-18 18:10:00,54
2019-09-18 18:11:00,58
2019-09-18 18:12:00,56
2019-09-18 18:13:00,56
2019-09-18 18:14:00,59
2019-09-18 18:15:00,55
2019-09-18 18:16:00,61
2019-09-18 18:17:00,43
