98,"SELECT p.ra,p.dec,p.raErr,p.decErr,p.objId,p.run,p.rerun,p.camcol,p.field,dbo.fPhotoModeN(mode) as mode,nChild,dbo.fPhotoTypeN(p.type) as type,clean,flags,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,mjd,distance FROM PhotoObj as p JOIN dbo.fGetNearbyObjEq(#,#,#) AS R ON P.objID=R.objID ORDER BY distance"
2019-09-18 00:25:00,1
2019-09-18 00:36:00,1
2019-09-18 00:52:00,1
2019-09-18 00:53:00,1
2019-09-18 00:59:00,2
2019-09-18 01:01:00,1
2019-09-18 01:02:00,1
2019-09-18 01:03:00,1
2019-09-18 01:05:00,1
2019-09-18 01:06:00,1
2019-09-18 01:07:00,1
2019-09-18 01:08:00,1
2019-09-18 01:09:00,1
2019-09-18 01:10:00,1
2019-09-18 01:11:00,1
2019-09-18 01:12:00,1
2019-09-18 01:41:00,1
2019-09-18 02:00:00,1
2019-09-18 02:04:00,1
2019-09-18 02:23:00,1
2019-09-18 03:01:00,1
2019-09-18 03:42:00,1
2019-09-18 04:00:00,1
2019-09-18 05:36:00,1
2019-09-18 05:45:00,1
2019-09-18 05:55:00,1
2019-09-18 06:09:00,1
2019-09-18 06:28:00,1
2019-09-18 06:54:00,1
2019-09-18 06:57:00,1
2019-09-18 07:41:00,1
2019-09-18 07:54:00,1
2019-09-18 08:00:00,1
2019-09-18 10:25:00,1
2019-09-18 12:01:00,1
2019-09-18 12:29:00,1
2019-09-18 12:32:00,1
2019-09-18 12:51:00,1
2019-09-18 13:15:00,1
2019-09-18 13:17:00,1
2019-09-18 13:46:00,1
2019-09-18 14:05:00,1
2019-09-18 14:53:00,1
2019-09-18 15:22:00,1
2019-09-18 15:24:00,1
2019-09-18 15:27:00,1
2019-09-18 15:29:00,1
2019-09-18 16:17:00,1
2019-09-18 16:42:00,1
2019-09-18 16:45:00,2
2019-09-18 18:18:00,1
2019-09-18 18:20:00,1
2019-09-18 18:21:00,1
2019-09-18 19:07:00,1
2019-09-18 19:20:00,1
2019-09-18 19:22:00,1
2019-09-18 19:24:00,1
2019-09-18 19:25:00,2
2019-09-18 19:26:00,1
2019-09-18 19:50:00,1
2019-09-18 20:15:00,1
2019-09-18 20:18:00,1
2019-09-18 20:22:00,1
2019-09-18 20:23:00,1
2019-09-18 20:24:00,1
2019-09-18 20:39:00,1
2019-09-18 20:42:00,1
2019-09-18 20:45:00,1
2019-09-18 20:46:00,2
2019-09-18 20:57:00,1
2019-09-18 21:02:00,1
2019-09-18 21:12:00,1
2019-09-18 21:18:00,1
2019-09-18 21:19:00,1
2019-09-18 21:24:00,1
2019-09-18 21:26:00,1
2019-09-18 21:30:00,1
2019-09-18 21:32:00,1
2019-09-18 22:07:00,1
2019-09-18 22:25:00,2
2019-09-18 22:26:00,1
2019-09-18 22:28:00,1
2019-09-18 22:31:00,1
2019-09-18 22:32:00,1
2019-09-18 22:47:00,2
2019-09-18 22:51:00,1
2019-09-18 22:52:00,1
2019-09-18 22:55:00,1
2019-09-18 22:56:00,1
2019-09-18 23:04:00,2
2019-09-18 23:18:00,1
