71,select and #=#
2019-09-18 00:10:00,1
2019-09-18 00:19:00,1
2019-09-18 00:38:00,1
2019-09-18 00:49:00,1
2019-09-18 01:04:00,1
2019-09-18 01:11:00,1
2019-09-18 01:13:00,1
2019-09-18 01:20:00,1
2019-09-18 01:58:00,1
2019-09-18 02:08:00,1
2019-09-18 02:14:00,1
2019-09-18 02:36:00,1
2019-09-18 04:13:00,1
2019-09-18 04:57:00,1
2019-09-18 05:07:00,1
2019-09-18 05:11:00,1
2019-09-18 05:25:00,1
2019-09-18 05:28:00,1
2019-09-18 05:31:00,1
2019-09-18 05:40:00,1
2019-09-18 06:01:00,1
2019-09-18 06:08:00,1
2019-09-18 06:16:00,1
2019-09-18 06:25:00,1
2019-09-18 06:34:00,1
2019-09-18 06:37:00,1
2019-09-18 06:40:00,1
2019-09-18 06:50:00,1
2019-09-18 06:56:00,1
2019-09-18 07:08:00,1
2019-09-18 07:35:00,1
2019-09-18 07:53:00,1
2019-09-18 08:05:00,1
2019-09-18 08:24:00,1
2019-09-18 08:43:00,1
2019-09-18 08:52:00,1
2019-09-18 08:55:00,1
2019-09-18 08:58:00,1
2019-09-18 09:01:00,1
2019-09-18 09:04:00,1
2019-09-18 09:07:00,1
2019-09-18 09:16:00,1
2019-09-18 09:25:00,1
2019-09-18 09:40:00,1
2019-09-18 09:46:00,1
2019-09-18 09:49:00,1
2019-09-18 09:58:00,1
2019-09-18 10:07:00,1
2019-09-18 10:31:00,1
2019-09-18 10:43:00,1
2019-09-18 10:46:00,1
2019-09-18 10:49:00,1
2019-09-18 10:52:00,1
2019-09-18 10:55:00,1
2019-09-18 11:01:00,1
2019-09-18 11:19:00,1
2019-09-18 11:37:00,1
2019-09-18 12:34:00,1
2019-09-18 14:09:00,2
2019-09-18 14:43:00,1
2019-09-18 15:13:00,1
2019-09-18 15:31:00,1
2019-09-18 16:06:00,1
2019-09-18 16:48:00,1
2019-09-18 17:04:00,1
2019-09-18 18:46:00,1
2019-09-18 19:54:00,1
2019-09-18 20:46:00,1
2019-09-18 22:55:00,1
2019-09-18 23:36:00,1
