14,"SELECT  top #   p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g, p.r, p.i, p.z,    p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z    FROM fGetObjFromRect(#,#,#,#) n,   PhotoPrimary p    WHERE n.objID=p.objID"
2019-09-18 00:33:00,1
2019-09-18 02:35:00,1
2019-09-18 10:12:00,1
2019-09-18 11:41:00,1
2019-09-18 12:08:00,1
2019-09-18 13:42:00,1
2019-09-18 14:38:00,1
2019-09-18 14:42:00,1
2019-09-18 15:44:00,1
2019-09-18 16:02:00,1
2019-09-18 21:01:00,2
2019-09-18 21:18:00,1
2019-09-18 22:54:00,1
