1423,"SELECT Distinct s.specObjID, s.ra, s.dec     FROM dbo.SpecObjAll AS s     WHERE SQRT(SQUARE(s.ra - #) + SQUARE(s.dec - #)) < #/# and s.z > #"
2019-09-18 19:27:00,2
2019-09-18 19:28:00,62
2019-09-18 19:29:00,61
2019-09-18 19:30:00,62
2019-09-18 19:31:00,62
2019-09-18 19:32:00,66
2019-09-18 19:33:00,63
2019-09-18 19:34:00,62
2019-09-18 19:35:00,61
2019-09-18 19:36:00,62
2019-09-18 19:37:00,61
2019-09-18 19:38:00,63
2019-09-18 19:39:00,61
2019-09-18 19:40:00,62
2019-09-18 19:41:00,64
2019-09-18 19:42:00,64
2019-09-18 19:43:00,62
2019-09-18 19:44:00,62
2019-09-18 19:45:00,62
2019-09-18 19:46:00,62
2019-09-18 19:47:00,61
2019-09-18 19:48:00,62
2019-09-18 19:49:00,62
2019-09-18 19:50:00,52
