3,"SELECT DISTINCT p.ra, p.dec, p.type, p.petroMag_g, p.petroMagErr_g FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-09-18 03:06:00,1
2019-09-18 03:32:00,1
2019-09-18 03:33:00,1
