13,"SELECT TOP # emline.fiberid as fiberID, emline.ra, emline.dec,  emline.z as z_noqso, emline.zerr as z_noqso_err,  emline.sigmaStars as emline_vdisp, emline.sigmaStarsErr as emline_vdisp_err,  pca.vdisp_median as pca_vdisp, pca.vdisp_err as pca_vdisp_err,  sp.veldisp as sp_vdisp, sp.veldisperr as sp_vdisp_err  FROM emissionLinesPort AS emline  JOIN stellarMassPCAWisc AS pca ON emline.specobjid = pca.specobjid  JOIN specObj as sp ON emline.specobjid = sp.specobjid  WHERE emline.plate = # AND emline.mjd = # AND pca.warning=#"
2019-09-18 02:58:00,1
2019-09-18 12:25:00,1
2019-09-18 14:18:00,1
2019-09-18 17:56:00,1
2019-09-18 18:17:00,1
2019-09-18 18:21:00,1
2019-09-18 18:22:00,1
2019-09-18 18:43:00,1
2019-09-18 18:46:00,1
2019-09-18 18:49:00,1
2019-09-18 19:28:00,1
2019-09-18 21:30:00,1
2019-09-18 23:51:00,1
