32,select top # * from galaxy
2019-09-18 00:32:00,1
2019-09-18 02:35:00,1
2019-09-18 02:36:00,1
2019-09-18 07:23:00,1
2019-09-18 08:04:00,1
2019-09-18 08:20:00,1
2019-09-18 10:12:00,1
2019-09-18 10:38:00,1
2019-09-18 12:08:00,1
2019-09-18 13:42:00,1
2019-09-18 14:01:00,1
2019-09-18 14:38:00,1
2019-09-18 14:42:00,1
2019-09-18 15:45:00,1
2019-09-18 16:21:00,1
2019-09-18 17:50:00,1
2019-09-18 17:51:00,1
2019-09-18 17:52:00,2
2019-09-18 17:53:00,1
2019-09-18 17:54:00,1
2019-09-18 18:01:00,2
2019-09-18 18:02:00,1
2019-09-18 18:03:00,1
2019-09-18 18:05:00,1
2019-09-18 18:07:00,1
2019-09-18 18:09:00,1
2019-09-18 18:13:00,1
2019-09-18 18:50:00,1
2019-09-18 18:53:00,1
2019-09-18 21:53:00,1
