131,"SELECT p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, psfFlux_u, psfFlux_g, psfFlux_r, psfFlux_i, psfFlux_z, psfFluxIvar_u, psfFluxIvar_g, psfFluxIvar_r, psfFluxIvar_i, psfFluxIvar_z FROM PhotoObj p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = #"
2019-06-14 01:34:00,2
2019-06-14 01:36:00,1
2019-06-14 01:37:00,1
2019-06-14 01:39:00,2
2019-06-14 01:40:00,1
2019-06-14 01:53:00,1
2019-06-14 01:58:00,1
2019-06-14 02:31:00,1
2019-06-14 02:33:00,3
2019-06-14 02:34:00,5
2019-06-14 02:35:00,2
2019-06-14 02:37:00,6
2019-06-14 02:40:00,1
2019-06-14 02:41:00,2
2019-06-14 02:57:00,3
2019-06-14 02:58:00,1
2019-06-14 02:59:00,2
2019-06-14 03:00:00,3
2019-06-14 03:01:00,4
2019-06-14 03:02:00,5
2019-06-14 03:12:00,5
2019-06-14 03:13:00,5
2019-06-14 03:14:00,3
2019-06-14 03:15:00,1
2019-06-14 03:16:00,2
2019-06-14 03:17:00,5
2019-06-14 03:18:00,4
2019-06-14 03:19:00,7
2019-06-14 03:20:00,3
2019-06-14 03:21:00,2
2019-06-14 03:27:00,2
2019-06-14 03:28:00,4
2019-06-14 03:29:00,5
2019-06-14 03:30:00,2
2019-06-14 03:31:00,2
2019-06-14 03:32:00,3
2019-06-14 03:33:00,2
2019-06-14 03:36:00,3
2019-06-14 03:37:00,6
2019-06-14 03:38:00,3
2019-06-14 03:39:00,1
2019-06-14 03:41:00,2
2019-06-14 03:42:00,2
2019-06-14 03:43:00,2
2019-06-14 03:44:00,2
2019-06-14 03:45:00,2
2019-06-14 03:46:00,3
2019-06-14 03:47:00,1
