115,SELECT * FROM dr1#_jun1#_#_#_#
2019-06-14 14:25:00,3
2019-06-14 14:26:00,4
2019-06-14 14:27:00,4
2019-06-14 14:28:00,4
2019-06-14 14:29:00,2
2019-06-14 14:30:00,3
2019-06-14 14:31:00,4
2019-06-14 14:32:00,2
2019-06-14 14:33:00,4
2019-06-14 14:34:00,4
2019-06-14 14:35:00,4
2019-06-14 14:36:00,4
2019-06-14 14:37:00,4
2019-06-14 14:38:00,4
2019-06-14 14:39:00,1
2019-06-14 14:40:00,4
2019-06-14 14:41:00,4
2019-06-14 14:42:00,4
2019-06-14 14:43:00,2
2019-06-14 14:44:00,4
2019-06-14 14:45:00,4
2019-06-14 14:46:00,4
2019-06-14 14:47:00,4
2019-06-14 14:48:00,3
2019-06-14 14:49:00,4
2019-06-14 14:50:00,4
2019-06-14 14:51:00,4
2019-06-14 14:52:00,4
2019-06-14 14:53:00,4
2019-06-14 14:54:00,3
2019-06-14 14:55:00,4
2019-06-14 14:56:00,4
