4,"SELECT TOP #  p.specobjid,p.ra,p.dec,g.lgm_tot_p5# FROM SpecPhotoAll AS p  JOIN galSpecExtra AS g ON p.specObjID = g.specObjID"
2019-06-14 20:33:00,2
2019-06-14 20:34:00,1
2019-06-14 20:35:00,1
