16,"SELECT TOP # p.objid,  p.run, p.rerun, p.camcol, p.field, p.obj,  p.type, p.ra, p.dec, p.u,p.g, p.r, p.i, p.z,  p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z  FROM fGetObjFromRect(#,#,#,#) n, PhotoPrimary p  WHERE n.objID=p.objID"
2019-06-09 07:35:00,1
2019-06-09 08:03:00,1
2019-06-09 08:06:00,1
2019-06-09 08:14:00,1
2019-06-09 08:21:00,1
2019-06-09 08:23:00,1
2019-06-09 08:27:00,1
2019-06-09 08:30:00,1
2019-06-09 08:32:00,1
2019-06-09 08:40:00,1
2019-06-09 08:43:00,1
2019-06-09 08:45:00,1
2019-06-09 08:50:00,1
2019-06-09 09:05:00,1
2019-06-09 09:25:00,1
2019-06-09 10:22:00,1
