181,select * from stellarMassStarformingPort where specObjId=#
2019-06-09 00:57:00,1
2019-06-09 07:32:00,1
2019-06-09 08:54:00,1
2019-06-09 08:58:00,1
2019-06-09 09:02:00,1
2019-06-09 09:05:00,1
2019-06-09 09:07:00,1
2019-06-09 09:09:00,1
2019-06-09 09:13:00,1
2019-06-09 09:16:00,1
2019-06-09 09:20:00,1
2019-06-09 09:25:00,1
2019-06-09 09:30:00,1
2019-06-09 09:34:00,1
2019-06-09 09:39:00,1
2019-06-09 09:43:00,1
2019-06-09 09:47:00,1
2019-06-09 09:51:00,1
2019-06-09 09:55:00,1
2019-06-09 09:59:00,1
2019-06-09 10:03:00,1
2019-06-09 10:07:00,1
2019-06-09 10:11:00,1
2019-06-09 10:15:00,1
2019-06-09 10:19:00,1
2019-06-09 10:23:00,1
2019-06-09 10:26:00,1
2019-06-09 10:31:00,1
2019-06-09 10:34:00,1
2019-06-09 10:38:00,1
2019-06-09 10:42:00,1
2019-06-09 10:46:00,1
2019-06-09 10:50:00,1
2019-06-09 10:54:00,1
2019-06-09 10:58:00,1
2019-06-09 11:02:00,1
2019-06-09 11:05:00,1
2019-06-09 11:06:00,1
2019-06-09 11:10:00,1
2019-06-09 11:14:00,1
2019-06-09 11:19:00,1
2019-06-09 11:23:00,1
2019-06-09 11:27:00,1
2019-06-09 11:32:00,1
2019-06-09 11:36:00,1
2019-06-09 11:40:00,1
2019-06-09 11:44:00,1
2019-06-09 11:48:00,1
2019-06-09 11:53:00,1
2019-06-09 11:57:00,1
2019-06-09 12:02:00,1
2019-06-09 12:06:00,1
2019-06-09 12:11:00,1
2019-06-09 12:15:00,1
2019-06-09 12:20:00,2
2019-06-09 12:24:00,1
2019-06-09 12:28:00,1
2019-06-09 12:33:00,1
2019-06-09 12:37:00,1
2019-06-09 12:41:00,1
2019-06-09 12:45:00,1
2019-06-09 12:49:00,1
2019-06-09 12:53:00,1
2019-06-09 12:57:00,1
2019-06-09 13:03:00,1
2019-06-09 13:08:00,1
2019-06-09 13:13:00,1
2019-06-09 13:17:00,1
2019-06-09 13:22:00,1
2019-06-09 13:26:00,1
2019-06-09 13:30:00,1
2019-06-09 13:34:00,1
2019-06-09 13:38:00,1
2019-06-09 13:42:00,1
2019-06-09 13:46:00,1
2019-06-09 13:50:00,1
2019-06-09 13:55:00,1
2019-06-09 13:58:00,1
2019-06-09 14:02:00,1
2019-06-09 14:06:00,1
2019-06-09 14:10:00,1
2019-06-09 14:15:00,1
2019-06-09 14:19:00,1
2019-06-09 14:23:00,1
2019-06-09 14:27:00,1
2019-06-09 14:32:00,1
2019-06-09 14:36:00,1
2019-06-09 14:41:00,1
2019-06-09 14:45:00,1
2019-06-09 14:50:00,1
2019-06-09 14:55:00,1
2019-06-09 14:59:00,1
2019-06-09 15:03:00,1
2019-06-09 15:07:00,1
2019-06-09 15:11:00,1
2019-06-09 15:15:00,1
2019-06-09 15:19:00,1
2019-06-09 15:23:00,1
2019-06-09 15:27:00,1
2019-06-09 15:31:00,1
2019-06-09 15:35:00,1
2019-06-09 15:39:00,1
2019-06-09 15:44:00,1
2019-06-09 15:48:00,1
2019-06-09 15:51:00,1
2019-06-09 15:56:00,1
2019-06-09 16:00:00,1
2019-06-09 16:04:00,1
2019-06-09 16:08:00,1
2019-06-09 16:12:00,1
2019-06-09 16:16:00,1
2019-06-09 16:20:00,1
2019-06-09 16:25:00,1
2019-06-09 16:29:00,1
2019-06-09 16:33:00,1
2019-06-09 16:37:00,1
2019-06-09 16:40:00,1
2019-06-09 16:44:00,1
2019-06-09 16:46:00,1
2019-06-09 16:48:00,1
2019-06-09 16:52:00,1
2019-06-09 16:56:00,1
2019-06-09 17:00:00,1
2019-06-09 17:04:00,1
2019-06-09 17:08:00,1
2019-06-09 17:12:00,1
2019-06-09 17:14:00,1
2019-06-09 17:18:00,1
2019-06-09 17:21:00,1
2019-06-09 17:24:00,1
2019-06-09 17:28:00,1
2019-06-09 17:32:00,1
2019-06-09 17:35:00,1
2019-06-09 17:39:00,1
2019-06-09 17:43:00,1
2019-06-09 17:46:00,1
2019-06-09 17:50:00,1
2019-06-09 17:53:00,1
2019-06-09 17:57:00,1
2019-06-09 18:00:00,1
2019-06-09 18:03:00,1
2019-06-09 18:07:00,1
2019-06-09 18:11:00,1
2019-06-09 18:16:00,1
2019-06-09 18:19:00,1
2019-06-09 18:23:00,1
2019-06-09 18:27:00,1
2019-06-09 18:32:00,1
2019-06-09 18:36:00,1
2019-06-09 18:40:00,1
2019-06-09 18:45:00,1
2019-06-09 18:49:00,1
2019-06-09 18:53:00,1
2019-06-09 18:58:00,1
2019-06-09 19:02:00,1
2019-06-09 19:06:00,1
2019-06-09 19:11:00,1
2019-06-09 19:15:00,1
2019-06-09 19:20:00,1
2019-06-09 19:24:00,1
2019-06-09 19:27:00,1
2019-06-09 19:28:00,1
2019-06-09 19:33:00,1
2019-06-09 19:37:00,1
2019-06-09 19:41:00,1
2019-06-09 19:46:00,1
2019-06-09 19:50:00,1
2019-06-09 19:55:00,1
2019-06-09 20:00:00,1
2019-06-09 20:04:00,1
2019-06-09 20:09:00,1
2019-06-09 20:13:00,1
2019-06-09 20:17:00,1
2019-06-09 20:22:00,1
2019-06-09 20:26:00,1
2019-06-09 20:31:00,1
2019-06-09 20:36:00,1
2019-06-09 20:40:00,1
2019-06-09 21:00:00,1
2019-06-09 22:24:00,1
