2902,"UPDATE FramePathProcessingFirstRun                         SET processed = #, goodMeltScore = #, fastBottomScore = #, fastTopScore = #, processedPath = &&&, cropPath = &&&                         WHERE Path = &&&"
2019-06-09 02:40:00,1
2019-06-09 02:50:00,16
2019-06-09 02:51:00,28
2019-06-09 02:52:00,28
2019-06-09 02:53:00,28
2019-06-09 02:54:00,28
2019-06-09 02:55:00,27
2019-06-09 02:56:00,27
2019-06-09 02:57:00,28
2019-06-09 02:58:00,28
2019-06-09 02:59:00,28
2019-06-09 03:00:00,27
2019-06-09 03:01:00,27
2019-06-09 03:02:00,28
2019-06-09 03:03:00,28
2019-06-09 03:04:00,28
2019-06-09 03:05:00,29
2019-06-09 03:06:00,28
2019-06-09 03:07:00,28
2019-06-09 03:08:00,28
2019-06-09 03:09:00,28
2019-06-09 03:10:00,28
2019-06-09 03:11:00,28
2019-06-09 03:12:00,28
2019-06-09 03:13:00,28
2019-06-09 03:14:00,29
2019-06-09 03:15:00,28
2019-06-09 03:16:00,28
2019-06-09 03:17:00,28
2019-06-09 03:18:00,25
2019-06-09 03:19:00,27
2019-06-09 03:20:00,28
2019-06-09 03:21:00,28
2019-06-09 03:22:00,28
2019-06-09 03:23:00,26
2019-06-09 03:24:00,28
2019-06-09 03:25:00,28
2019-06-09 03:26:00,28
2019-06-09 03:27:00,28
2019-06-09 03:28:00,28
2019-06-09 03:29:00,27
2019-06-09 03:30:00,28
2019-06-09 03:31:00,28
2019-06-09 03:32:00,28
2019-06-09 03:33:00,27
2019-06-09 03:34:00,28
2019-06-09 03:35:00,27
2019-06-09 03:36:00,28
2019-06-09 03:37:00,28
2019-06-09 03:38:00,27
2019-06-09 03:39:00,28
2019-06-09 03:40:00,28
2019-06-09 03:41:00,26
2019-06-09 03:42:00,28
2019-06-09 03:43:00,25
2019-06-09 03:44:00,28
2019-06-09 03:45:00,29
2019-06-09 03:46:00,28
2019-06-09 03:47:00,28
2019-06-09 03:48:00,28
2019-06-09 03:49:00,28
2019-06-09 03:50:00,27
2019-06-09 03:51:00,28
2019-06-09 03:52:00,28
2019-06-09 03:53:00,28
2019-06-09 03:54:00,28
2019-06-09 03:55:00,28
2019-06-09 03:56:00,28
2019-06-09 03:57:00,28
2019-06-09 03:58:00,28
2019-06-09 03:59:00,29
2019-06-09 04:00:00,26
2019-06-09 04:01:00,28
2019-06-09 04:02:00,29
2019-06-09 04:03:00,28
2019-06-09 04:04:00,29
2019-06-09 04:05:00,29
2019-06-09 04:06:00,29
2019-06-09 04:07:00,29
2019-06-09 04:08:00,29
2019-06-09 04:09:00,28
2019-06-09 04:10:00,27
2019-06-09 04:11:00,29
2019-06-09 04:12:00,28
2019-06-09 04:13:00,29
2019-06-09 04:14:00,29
2019-06-09 04:15:00,28
2019-06-09 04:16:00,29
2019-06-09 04:17:00,29
2019-06-09 04:18:00,30
2019-06-09 04:19:00,29
2019-06-09 04:20:00,29
2019-06-09 04:21:00,28
2019-06-09 04:22:00,29
2019-06-09 04:23:00,30
2019-06-09 04:24:00,29
2019-06-09 04:25:00,29
2019-06-09 04:26:00,28
2019-06-09 04:27:00,30
2019-06-09 04:28:00,28
2019-06-09 04:29:00,14
2019-06-09 13:11:00,23
2019-06-09 13:12:00,27
2019-06-09 13:13:00,4
2019-06-09 13:54:00,14
2019-06-09 13:55:00,1
2019-06-09 18:52:00,4
2019-06-09 18:53:00,13
2019-06-09 18:57:00,22
2019-06-09 18:58:00,16
