53,select count(*) as thecount
2019-06-09 09:56:00,1
2019-06-09 12:30:00,1
2019-06-09 12:31:00,3
2019-06-09 12:33:00,1
2019-06-09 12:39:00,4
2019-06-09 12:44:00,6
2019-06-09 15:30:00,4
2019-06-09 15:35:00,2
2019-06-09 15:36:00,2
2019-06-09 15:46:00,1
2019-06-09 15:51:00,2
2019-06-09 15:57:00,1
2019-06-09 16:01:00,1
2019-06-09 16:05:00,1
2019-06-09 16:06:00,2
2019-06-09 16:12:00,2
2019-06-09 16:17:00,1
2019-06-09 16:25:00,1
2019-06-09 16:43:00,1
2019-06-09 16:48:00,1
2019-06-09 16:54:00,1
2019-06-09 17:03:00,1
2019-06-09 17:12:00,1
2019-06-09 17:13:00,2
2019-06-09 17:18:00,2
2019-06-09 17:29:00,1
2019-06-09 17:34:00,1
2019-06-09 17:40:00,1
2019-06-09 17:43:00,2
2019-06-09 18:06:00,1
2019-06-09 18:22:00,1
2019-06-09 18:30:00,1
