174,select * from stellarMassFSPSGranWideNoDust where specObjId=#
2019-06-09 08:55:00,1
2019-06-09 08:58:00,1
2019-06-09 09:03:00,1
2019-06-09 09:05:00,1
2019-06-09 09:08:00,1
2019-06-09 09:10:00,1
2019-06-09 09:13:00,1
2019-06-09 09:17:00,1
2019-06-09 09:21:00,1
2019-06-09 09:26:00,1
2019-06-09 09:31:00,1
2019-06-09 09:35:00,1
2019-06-09 09:40:00,1
2019-06-09 09:44:00,1
2019-06-09 09:48:00,1
2019-06-09 09:52:00,1
2019-06-09 09:56:00,1
2019-06-09 09:58:00,1
2019-06-09 10:00:00,1
2019-06-09 10:04:00,1
2019-06-09 10:08:00,1
2019-06-09 10:12:00,1
2019-06-09 10:16:00,1
2019-06-09 10:20:00,1
2019-06-09 10:24:00,1
2019-06-09 10:27:00,1
2019-06-09 10:31:00,1
2019-06-09 10:35:00,1
2019-06-09 10:39:00,1
2019-06-09 10:43:00,1
2019-06-09 10:47:00,1
2019-06-09 10:51:00,1
2019-06-09 10:55:00,1
2019-06-09 10:59:00,1
2019-06-09 11:03:00,1
2019-06-09 11:07:00,1
2019-06-09 11:11:00,1
2019-06-09 11:15:00,1
2019-06-09 11:20:00,1
2019-06-09 11:24:00,1
2019-06-09 11:28:00,1
2019-06-09 11:33:00,1
2019-06-09 11:37:00,1
2019-06-09 11:41:00,1
2019-06-09 11:45:00,1
2019-06-09 11:50:00,1
2019-06-09 11:54:00,1
2019-06-09 11:58:00,1
2019-06-09 12:03:00,1
2019-06-09 12:07:00,1
2019-06-09 12:12:00,1
2019-06-09 12:17:00,1
2019-06-09 12:21:00,1
2019-06-09 12:25:00,1
2019-06-09 12:30:00,1
2019-06-09 12:34:00,1
2019-06-09 12:38:00,1
2019-06-09 12:42:00,1
2019-06-09 12:46:00,1
2019-06-09 12:50:00,1
2019-06-09 12:54:00,1
2019-06-09 12:58:00,1
2019-06-09 13:04:00,1
2019-06-09 13:09:00,1
2019-06-09 13:14:00,1
2019-06-09 13:18:00,1
2019-06-09 13:23:00,1
2019-06-09 13:27:00,1
2019-06-09 13:31:00,1
2019-06-09 13:35:00,1
2019-06-09 13:39:00,1
2019-06-09 13:43:00,1
2019-06-09 13:47:00,1
2019-06-09 13:51:00,1
2019-06-09 13:55:00,1
2019-06-09 13:59:00,1
2019-06-09 14:03:00,1
2019-06-09 14:08:00,1
2019-06-09 14:12:00,1
2019-06-09 14:16:00,1
2019-06-09 14:20:00,1
2019-06-09 14:24:00,1
2019-06-09 14:28:00,1
2019-06-09 14:33:00,1
2019-06-09 14:37:00,1
2019-06-09 14:42:00,1
2019-06-09 14:46:00,1
2019-06-09 14:52:00,1
2019-06-09 14:56:00,1
2019-06-09 15:00:00,1
2019-06-09 15:04:00,1
2019-06-09 15:08:00,1
2019-06-09 15:12:00,1
2019-06-09 15:15:00,1
2019-06-09 15:20:00,1
2019-06-09 15:24:00,1
2019-06-09 15:28:00,1
2019-06-09 15:32:00,1
2019-06-09 15:36:00,1
2019-06-09 15:40:00,1
2019-06-09 15:45:00,1
2019-06-09 15:49:00,1
2019-06-09 15:52:00,1
2019-06-09 15:57:00,1
2019-06-09 16:01:00,1
2019-06-09 16:05:00,1
2019-06-09 16:09:00,1
2019-06-09 16:13:00,1
2019-06-09 16:17:00,1
2019-06-09 16:22:00,1
2019-06-09 16:26:00,1
2019-06-09 16:30:00,1
2019-06-09 16:33:00,1
2019-06-09 16:38:00,1
2019-06-09 16:41:00,1
2019-06-09 16:45:00,1
2019-06-09 16:49:00,1
2019-06-09 16:53:00,1
2019-06-09 16:57:00,1
2019-06-09 17:01:00,1
2019-06-09 17:05:00,1
2019-06-09 17:09:00,1
2019-06-09 17:12:00,1
2019-06-09 17:15:00,1
2019-06-09 17:19:00,1
2019-06-09 17:22:00,1
2019-06-09 17:25:00,1
2019-06-09 17:28:00,1
2019-06-09 17:33:00,1
2019-06-09 17:36:00,1
2019-06-09 17:40:00,1
2019-06-09 17:44:00,1
2019-06-09 17:47:00,1
2019-06-09 17:50:00,1
2019-06-09 17:54:00,1
2019-06-09 17:57:00,1
2019-06-09 18:00:00,1
2019-06-09 18:04:00,1
2019-06-09 18:07:00,1
2019-06-09 18:12:00,1
2019-06-09 18:16:00,1
2019-06-09 18:20:00,1
2019-06-09 18:24:00,1
2019-06-09 18:29:00,1
2019-06-09 18:33:00,1
2019-06-09 18:37:00,1
2019-06-09 18:41:00,1
2019-06-09 18:46:00,1
2019-06-09 18:50:00,1
2019-06-09 18:54:00,1
2019-06-09 18:59:00,1
2019-06-09 19:03:00,1
2019-06-09 19:07:00,1
2019-06-09 19:12:00,1
2019-06-09 19:16:00,1
2019-06-09 19:21:00,1
2019-06-09 19:25:00,1
2019-06-09 19:30:00,1
2019-06-09 19:34:00,1
2019-06-09 19:38:00,1
2019-06-09 19:43:00,1
2019-06-09 19:47:00,1
2019-06-09 19:51:00,1
2019-06-09 19:56:00,1
2019-06-09 20:01:00,1
2019-06-09 20:05:00,1
2019-06-09 20:10:00,1
2019-06-09 20:14:00,1
2019-06-09 20:19:00,1
2019-06-09 20:23:00,1
2019-06-09 20:27:00,1
2019-06-09 20:32:00,1
2019-06-09 20:37:00,1
2019-06-09 20:41:00,1
