17,"SELECT objID,ra,dec,mjd,u,g,r,i,z,offsetRa_r,offsetRa_i,offsetRa_g,offsetDec_r,offsetDec_i,offsetDec_g FROM photoObj WHERE ra > # and ra < # and dec > # and dec < # ORDER BY r"
2019-01-28 03:36:00,2
2019-01-28 03:37:00,1
2019-01-28 03:42:00,1
2019-01-28 03:43:00,1
2019-01-28 03:46:00,1
2019-01-28 03:47:00,1
2019-01-28 03:49:00,1
2019-01-28 03:52:00,1
2019-01-28 03:53:00,1
2019-01-28 03:59:00,1
2019-01-28 04:25:00,1
2019-01-28 04:29:00,1
2019-01-28 04:35:00,1
2019-01-28 04:40:00,1
2019-01-28 04:44:00,1
2019-01-28 06:20:00,1
