231,select fieldid from field where skyslope_r between -.# and -.# and medianpsfcolor_r between # and #
2019-01-28 15:08:00,5
2019-01-28 15:37:00,2
2019-01-28 15:47:00,1
2019-01-28 15:48:00,2
2019-01-28 15:54:00,4
2019-01-28 15:56:00,2
2019-01-28 15:57:00,2
2019-01-28 16:01:00,3
2019-01-28 16:03:00,7
2019-01-28 16:10:00,2
2019-01-28 16:12:00,3
2019-01-28 16:13:00,1
2019-01-28 16:25:00,3
2019-01-28 16:26:00,1
2019-01-28 16:46:00,1
2019-01-28 16:47:00,3
2019-01-28 16:48:00,3
2019-01-28 16:49:00,5
2019-01-28 16:50:00,1
2019-01-28 16:51:00,5
2019-01-28 16:52:00,2
2019-01-28 16:53:00,2
2019-01-28 16:54:00,1
2019-01-28 16:55:00,2
2019-01-28 16:56:00,5
2019-01-28 16:57:00,13
2019-01-28 16:59:00,3
2019-01-28 17:01:00,2
2019-01-28 17:04:00,8
2019-01-28 17:05:00,2
2019-01-28 17:06:00,4
2019-01-28 17:07:00,1
2019-01-28 17:08:00,2
2019-01-28 17:09:00,4
2019-01-28 17:12:00,1
2019-01-28 17:15:00,1
2019-01-28 17:16:00,9
2019-01-28 17:17:00,2
2019-01-28 17:19:00,1
2019-01-28 17:20:00,1
2019-01-28 17:21:00,1
2019-01-28 17:26:00,5
2019-01-28 17:27:00,12
2019-01-28 17:50:00,1
2019-01-28 17:52:00,5
2019-01-28 17:53:00,2
2019-01-28 18:03:00,6
2019-01-28 18:27:00,2
2019-01-28 18:28:00,1
2019-01-28 19:19:00,4
2019-01-28 19:21:00,3
2019-01-28 20:02:00,1
2019-01-28 20:09:00,2
2019-01-28 20:12:00,1
2019-01-28 20:13:00,5
2019-01-28 20:20:00,1
2019-01-28 20:21:00,5
2019-01-28 20:22:00,1
2019-01-28 20:23:00,2
2019-01-28 20:32:00,1
2019-01-28 20:33:00,1
2019-01-28 20:34:00,5
2019-01-28 20:56:00,5
2019-01-28 21:00:00,1
2019-01-28 21:40:00,5
2019-01-28 21:46:00,1
2019-01-28 22:07:00,2
2019-01-28 22:36:00,7
2019-01-28 22:40:00,1
2019-01-28 22:45:00,1
2019-01-28 23:18:00,1
2019-01-28 23:19:00,1
2019-01-28 23:30:00,1
2019-01-28 23:36:00,1
2019-01-28 23:37:00,1
2019-01-28 23:39:00,3
2019-01-28 23:42:00,1
2019-01-28 23:43:00,1
2019-01-28 23:46:00,2
2019-01-28 23:47:00,1
2019-01-28 23:48:00,1
2019-01-28 23:49:00,2
2019-01-28 23:51:00,1
2019-01-28 23:53:00,1
2019-01-28 23:54:00,1
