24058,select fieldid from field where skyslope_r between # and # and medianpsfcolor_r between # and #
2019-01-28 02:29:00,5
2019-01-28 02:52:00,20
2019-01-28 02:53:00,2
2019-01-28 02:56:00,25
2019-01-28 02:57:00,22
2019-01-28 03:00:00,27
2019-01-28 03:01:00,22
2019-01-28 03:03:00,32
2019-01-28 03:06:00,30
2019-01-28 03:07:00,47
2019-01-28 03:08:00,1
2019-01-28 03:20:00,1
2019-01-28 03:21:00,35
2019-01-28 13:29:00,16
2019-01-28 13:30:00,3
2019-01-28 14:15:00,56
2019-01-28 14:16:00,1
2019-01-28 14:18:00,2
2019-01-28 14:19:00,11
2019-01-28 14:20:00,10
2019-01-28 14:32:00,16
2019-01-28 14:58:00,5
2019-01-28 15:07:00,1
2019-01-28 15:08:00,17
2019-01-28 15:31:00,13
2019-01-28 15:34:00,17
2019-01-28 15:37:00,10
2019-01-28 15:43:00,3
2019-01-28 15:44:00,15
2019-01-28 15:46:00,46
2019-01-28 15:47:00,12
2019-01-28 15:48:00,129
2019-01-28 15:49:00,3
2019-01-28 15:54:00,236
2019-01-28 15:55:00,52
2019-01-28 15:56:00,44
2019-01-28 15:57:00,49
2019-01-28 15:59:00,10
2019-01-28 16:00:00,12
2019-01-28 16:01:00,162
2019-01-28 16:02:00,11
2019-01-28 16:03:00,306
2019-01-28 16:04:00,11
2019-01-28 16:10:00,85
2019-01-28 16:11:00,33
2019-01-28 16:12:00,181
2019-01-28 16:13:00,264
2019-01-28 16:14:00,30
2019-01-28 16:24:00,96
2019-01-28 16:25:00,189
2019-01-28 16:26:00,333
2019-01-28 16:27:00,107
2019-01-28 16:28:00,86
2019-01-28 16:31:00,78
2019-01-28 16:40:00,67
2019-01-28 16:46:00,214
2019-01-28 16:47:00,276
2019-01-28 16:48:00,267
2019-01-28 16:49:00,333
2019-01-28 16:50:00,312
2019-01-28 16:51:00,337
2019-01-28 16:52:00,148
2019-01-28 16:53:00,220
2019-01-28 16:54:00,330
2019-01-28 16:55:00,329
2019-01-28 16:56:00,329
2019-01-28 16:57:00,315
2019-01-28 16:58:00,70
2019-01-28 16:59:00,213
2019-01-28 17:00:00,179
2019-01-28 17:01:00,199
2019-01-28 17:04:00,259
2019-01-28 17:05:00,225
2019-01-28 17:06:00,233
2019-01-28 17:07:00,207
2019-01-28 17:08:00,260
2019-01-28 17:09:00,221
2019-01-28 17:10:00,39
2019-01-28 17:11:00,100
2019-01-28 17:12:00,145
2019-01-28 17:13:00,34
2019-01-28 17:14:00,38
2019-01-28 17:15:00,313
2019-01-28 17:16:00,347
2019-01-28 17:17:00,227
2019-01-28 17:18:00,363
2019-01-28 17:19:00,384
2019-01-28 17:20:00,343
2019-01-28 17:21:00,393
2019-01-28 17:22:00,16
2019-01-28 17:26:00,45
2019-01-28 17:27:00,432
2019-01-28 17:28:00,16
2019-01-28 17:50:00,78
2019-01-28 17:52:00,288
2019-01-28 17:53:00,69
2019-01-28 18:01:00,74
2019-01-28 18:02:00,343
2019-01-28 18:03:00,309
2019-01-28 18:04:00,251
2019-01-28 18:16:00,26
2019-01-28 18:17:00,155
2019-01-28 18:18:00,16
2019-01-28 18:19:00,15
2019-01-28 18:20:00,32
2019-01-28 18:21:00,17
2019-01-28 18:27:00,20
2019-01-28 18:28:00,150
2019-01-28 18:31:00,66
2019-01-28 18:32:00,2
2019-01-28 18:36:00,7
2019-01-28 18:37:00,24
2019-01-28 18:38:00,38
2019-01-28 18:39:00,8
2019-01-28 18:41:00,12
2019-01-28 18:42:00,164
2019-01-28 18:43:00,205
2019-01-28 18:46:00,17
2019-01-28 18:47:00,15
2019-01-28 19:02:00,87
2019-01-28 19:06:00,22
2019-01-28 19:07:00,17
2019-01-28 19:11:00,13
2019-01-28 19:19:00,95
2019-01-28 19:20:00,137
2019-01-28 19:21:00,188
2019-01-28 19:22:00,56
2019-01-28 19:23:00,12
2019-01-28 19:33:00,18
2019-01-28 19:34:00,3
2019-01-28 19:39:00,9
