2653,select fieldid from field where cccol_u between -.# and -.# and skyframes_r between # and #
2019-01-28 02:29:00,1
2019-01-28 02:31:00,9
2019-01-28 02:32:00,11
2019-01-28 02:37:00,8
2019-01-28 02:41:00,2
2019-01-28 02:49:00,3
2019-01-28 02:50:00,15
2019-01-28 02:54:00,1
2019-01-28 02:55:00,7
2019-01-28 02:57:00,10
2019-01-28 02:58:00,3
2019-01-28 03:00:00,5
2019-01-28 03:01:00,17
2019-01-28 03:06:00,4
2019-01-28 03:07:00,1
2019-01-28 03:08:00,5
2019-01-28 03:09:00,12
2019-01-28 03:13:00,1
2019-01-28 03:14:00,26
2019-01-28 03:15:00,1
2019-01-28 03:16:00,26
2019-01-28 03:17:00,1
2019-01-28 03:18:00,4
2019-01-28 03:19:00,4
2019-01-28 03:20:00,8
2019-01-28 03:21:00,1
2019-01-28 08:15:00,3
2019-01-28 08:16:00,6
2019-01-28 08:17:00,5
2019-01-28 08:20:00,6
2019-01-28 12:58:00,2
2019-01-28 13:14:00,5
2019-01-28 13:21:00,2
2019-01-28 13:23:00,4
2019-01-28 13:24:00,7
2019-01-28 13:25:00,9
2019-01-28 13:26:00,188
2019-01-28 13:27:00,29
2019-01-28 13:28:00,19
2019-01-28 13:29:00,8
2019-01-28 13:51:00,4
2019-01-28 13:52:00,20
2019-01-28 13:58:00,5
2019-01-28 13:59:00,1
2019-01-28 14:00:00,3
2019-01-28 14:01:00,10
2019-01-28 14:03:00,4
2019-01-28 14:06:00,1
2019-01-28 14:07:00,4
2019-01-28 14:08:00,1
2019-01-28 14:13:00,1
2019-01-28 14:15:00,4
2019-01-28 14:16:00,14
2019-01-28 14:19:00,14
2019-01-28 14:20:00,5
2019-01-28 14:21:00,1
2019-01-28 14:23:00,2
2019-01-28 14:33:00,6
2019-01-28 14:34:00,2
2019-01-28 14:35:00,2
2019-01-28 14:38:00,10
2019-01-28 14:39:00,4
2019-01-28 14:54:00,6
2019-01-28 14:55:00,10
2019-01-28 14:56:00,9
2019-01-28 14:57:00,4
2019-01-28 14:58:00,21
2019-01-28 14:59:00,7
2019-01-28 15:00:00,4
2019-01-28 15:01:00,5
2019-01-28 15:03:00,7
2019-01-28 15:04:00,6
2019-01-28 15:05:00,1
2019-01-28 15:07:00,13
2019-01-28 15:08:00,4
2019-01-28 15:09:00,17
2019-01-28 15:10:00,1
2019-01-28 15:11:00,2
2019-01-28 15:12:00,6
2019-01-28 15:13:00,12
2019-01-28 15:14:00,4
2019-01-28 15:21:00,6
2019-01-28 15:22:00,20
2019-01-28 15:23:00,7
2019-01-28 15:24:00,5
2019-01-28 15:25:00,8
2019-01-28 15:28:00,6
2019-01-28 15:29:00,7
2019-01-28 15:30:00,5
2019-01-28 15:31:00,1
2019-01-28 15:32:00,3
2019-01-28 15:37:00,2
2019-01-28 15:38:00,2
2019-01-28 15:39:00,5
2019-01-28 15:40:00,17
2019-01-28 15:41:00,14
2019-01-28 15:42:00,26
2019-01-28 15:43:00,1
2019-01-28 15:46:00,4
2019-01-28 15:53:00,7
2019-01-28 15:56:00,13
2019-01-28 16:04:00,5
2019-01-28 16:05:00,5
2019-01-28 16:06:00,7
2019-01-28 16:24:00,2
2019-01-28 16:25:00,57
2019-01-28 16:26:00,2
2019-01-28 16:45:00,7
2019-01-28 17:05:00,8
2019-01-28 17:06:00,8
2019-01-28 17:29:00,12
2019-01-28 18:21:00,3
2019-01-28 18:38:00,1
2019-01-28 18:47:00,1
2019-01-28 19:11:00,2
2019-01-28 19:25:00,12
2019-01-28 19:26:00,30
2019-01-28 19:27:00,18
2019-01-28 19:28:00,9
2019-01-28 19:32:00,1
2019-01-28 19:33:00,2
2019-01-28 19:37:00,1
2019-01-28 19:39:00,1
2019-01-28 19:41:00,1
2019-01-28 19:48:00,1
2019-01-28 19:52:00,6
2019-01-28 19:53:00,5
2019-01-28 19:54:00,2
2019-01-28 19:56:00,3
2019-01-28 19:57:00,7
2019-01-28 19:59:00,27
2019-01-28 20:00:00,3
2019-01-28 20:02:00,4
2019-01-28 20:03:00,2
2019-01-28 20:04:00,3
