1704,select fieldid from field where devmodelapcorrection_i between # and # and psfb_u between # and #
2019-01-28 15:49:00,61
2019-01-28 15:50:00,121
2019-01-28 15:51:00,112
2019-01-28 15:52:00,57
2019-01-28 17:09:00,78
2019-01-28 17:11:00,68
2019-01-28 17:53:00,36
2019-01-28 17:54:00,230
2019-01-28 17:55:00,3
2019-01-28 22:31:00,39
2019-01-28 22:32:00,101
2019-01-28 22:33:00,98
2019-01-28 22:34:00,96
2019-01-28 23:18:00,30
2019-01-28 23:21:00,142
2019-01-28 23:22:00,98
2019-01-28 23:44:00,306
2019-01-28 23:45:00,28
