17968,select fieldid from field where cccol_u between # and # and skyframes_r between # and # and expapcorrectionerr_r between # and #
2019-01-28 18:00:00,1
2019-01-28 18:01:00,19
2019-01-28 18:08:00,217
2019-01-28 18:09:00,343
2019-01-28 18:10:00,362
2019-01-28 18:11:00,369
2019-01-28 18:12:00,286
2019-01-28 18:13:00,299
2019-01-28 18:14:00,294
2019-01-28 18:15:00,294
2019-01-28 18:16:00,307
2019-01-28 18:17:00,165
2019-01-28 18:18:00,228
2019-01-28 18:19:00,103
2019-01-28 18:21:00,173
2019-01-28 18:22:00,323
2019-01-28 18:23:00,322
2019-01-28 18:24:00,387
2019-01-28 18:25:00,371
2019-01-28 18:26:00,385
2019-01-28 18:27:00,167
2019-01-28 18:28:00,192
2019-01-28 18:29:00,413
2019-01-28 18:30:00,388
2019-01-28 18:31:00,277
2019-01-28 18:32:00,297
2019-01-28 18:33:00,305
2019-01-28 18:34:00,313
2019-01-28 18:35:00,283
2019-01-28 18:36:00,125
2019-01-28 18:39:00,131
2019-01-28 18:40:00,147
2019-01-28 18:41:00,250
2019-01-28 18:42:00,222
2019-01-28 18:43:00,196
2019-01-28 18:44:00,365
2019-01-28 18:45:00,324
2019-01-28 18:46:00,158
2019-01-28 18:47:00,240
2019-01-28 18:48:00,322
2019-01-28 18:49:00,162
2019-01-28 18:50:00,317
2019-01-28 18:51:00,334
2019-01-28 18:52:00,314
2019-01-28 18:53:00,232
2019-01-28 18:54:00,150
2019-01-28 18:55:00,337
2019-01-28 18:56:00,369
2019-01-28 18:57:00,298
2019-01-28 18:58:00,350
2019-01-28 18:59:00,293
2019-01-28 19:00:00,334
2019-01-28 19:01:00,323
2019-01-28 19:02:00,257
2019-01-28 19:03:00,369
2019-01-28 19:04:00,346
2019-01-28 19:05:00,278
2019-01-28 19:06:00,141
2019-01-28 19:07:00,211
2019-01-28 19:08:00,327
2019-01-28 19:09:00,350
2019-01-28 19:10:00,309
2019-01-28 19:11:00,104
2019-01-28 19:12:00,314
2019-01-28 19:13:00,377
2019-01-28 19:14:00,349
2019-01-28 19:15:00,60
