52,"select name, type, description from DBObjects where  type in (&&&,&&&) and UPPER(name) like &&&"
2019-01-28 00:55:00,1
2019-01-28 04:38:00,1
2019-01-28 04:42:00,1
2019-01-28 04:43:00,11
2019-01-28 05:08:00,1
2019-01-28 05:10:00,12
2019-01-28 06:35:00,1
2019-01-28 06:40:00,2
2019-01-28 06:41:00,2
2019-01-28 06:42:00,1
2019-01-28 06:59:00,1
2019-01-28 07:10:00,1
2019-01-28 08:47:00,1
2019-01-28 09:16:00,1
2019-01-28 09:24:00,1
2019-01-28 11:54:00,1
2019-01-28 13:00:00,7
2019-01-28 13:01:00,3
2019-01-28 13:19:00,1
2019-01-28 17:37:00,1
2019-01-28 18:44:00,1
